alpha-1-B glycoprotein	A1BG
ATP binding cassette subfamily A member 7	ABCA7
ATP binding cassette subfamily A member 8	ABCA8
ATP binding cassette subfamily A member 9	ABCA9
ABCA9 antisense RNA 1	ABCA9-AS1
ATP binding cassette subfamily A member 10	ABCA10
ATP binding cassette subfamily A member 11, pseudogene	ABCA11P
ATP binding cassette subfamily A member 12	ABCA12
ATP binding cassette subfamily A member 13	ABCA13
ATP binding cassette subfamily A member 17, pseudogene	ABCA17P
ATP binding cassette subfamily B member 1	ABCB1
ATP binding cassette subfamily B member 4	ABCB4
ATP binding cassette subfamily B member 5	ABCB5
ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB6
ATP binding cassette subfamily B member 7	ABCB7
ATP binding cassette subfamily B member 8	ABCB8
ATP binding cassette subfamily B member 9	ABCB9
ATP binding cassette subfamily B member 10	ABCB10
ABCB10 pseudogene 1	ABCB10P1
ABCB10 pseudogene 3	ABCB10P3
ABCB10 pseudogene 4	ABCB10P4
ATP binding cassette subfamily B member 11	ABCB11
ATP binding cassette subfamily C member 1	ABCC1
ATP binding cassette subfamily C member 2	ABCC2
ATP binding cassette subfamily C member 3	ABCC3
ATP binding cassette subfamily C member 4	ABCC4
ATP binding cassette subfamily C member 5	ABCC5
ABCC5 antisense RNA 1	ABCC5-AS1
ATP binding cassette subfamily C member 6	ABCC6
ATP binding cassette subfamily C member 6 pseudogene 1	ABCC6P1
ATP binding cassette subfamily C member 6 pseudogene 2	ABCC6P2
ATP binding cassette subfamily C member 8	ABCC8
ATP binding cassette subfamily C member 9	ABCC9
ATP binding cassette subfamily C member 10	ABCC10
ATP binding cassette subfamily C member 11	ABCC11
ATP binding cassette subfamily C member 12	ABCC12
ATP binding cassette subfamily C member 13 (pseudogene)	ABCC13
ATP binding cassette subfamily D member 1	ABCD1
ATP binding cassette subfamily D member 1 pseudogene 1	ABCD1P1
ATP binding cassette subfamily D member 1 pseudogene 2	ABCD1P2
ATP binding cassette subfamily D member 1 pseudogene 3	ABCD1P3
ATP binding cassette subfamily D member 1 pseudogene 4	ABCD1P4
ATP binding cassette subfamily D member 1 pseudogene 5	ABCD1P5
ATP binding cassette subfamily D member 2	ABCD2
ATP binding cassette subfamily D member 3	ABCD3
ATP binding cassette subfamily D member 4	ABCD4
ATP binding cassette subfamily E member 1	ABCE1
ATP binding cassette subfamily F member 1	ABCF1
ABCF1 divergent transcript	ABCF1-DT
ATP binding cassette subfamily F member 2	ABCF2
ATP binding cassette subfamily F member 2 pseudogene 1	ABCF2P1
ATP binding cassette subfamily F member 2 pseudogene 2	ABCF2P2
ATP binding cassette subfamily F member 3	ABCF3
ATP binding cassette subfamily G member 1	ABCG1
ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG2
ATP binding cassette subfamily G member 4	ABCG4
ATP binding cassette subfamily G member 5	ABCG5
ATP binding cassette subfamily G member 8	ABCG8
abhydrolase domain containing 1	ABHD1
abhydrolase domain containing 2	ABHD2
abhydrolase domain containing 3	ABHD3
abhydrolase domain containing 4	ABHD4
abhydrolase domain containing 5	ABHD5
abhydrolase domain containing 6	ABHD6
abhydrolase domain containing 8	ABHD8
abhydrolase domain containing 10	ABHD10
abhydrolase domain containing 11	ABHD11
ABHD11 antisense RNA 1 (tail to tail)	ABHD11-AS1
abhydrolase domain containing 12	ABHD12
abhydrolase domain containing 12B	ABHD12B
abhydrolase domain containing 13	ABHD13
abhydrolase domain containing 14A	ABHD14A
ABHD14A-ACY1 readthrough	ABHD14A-ACY1
abhydrolase domain containing 14B	ABHD14B
abhydrolase domain containing 15	ABHD15
ABHD15 antisense RNA 1	ABHD15-AS1
abhydrolase domain containing 16A	ABHD16A
abhydrolase domain containing 16B	ABHD16B
abhydrolase domain containing 17A	ABHD17A
abhydrolase domain containing 17A pseudogene 1	ABHD17AP1
abhydrolase domain containing 17A pseudogene 3	ABHD17AP3
abhydrolase domain containing 17A pseudogene P4	ABHD17AP4
abhydrolase domain containing 17A pseudogene 5	ABHD17AP5
abhydrolase domain containing 17A pseudogene 6	ABHD17AP6
abhydrolase domain containing 17A pseudogene 7	ABHD17AP7
abhydrolase domain containing 17A pseudogene 8	ABHD17AP8
abhydrolase domain containing 17A pseudogene 9	ABHD17AP9
abhydrolase domain containing 17B	ABHD17B
abhydrolase domain containing 17C	ABHD17C
abhydrolase domain containing 18	ABHD18
abl interactor 1	ABI1
abl interactor 1 pseudogene 1	ABI1P1
abl interactor 2	ABI2
ABI family member 3	ABI3
ABI family member 3 binding protein	ABI3BP
actin binding transcription modulator	ABITRAM
ABITRAM pseudogene 1	ABITRAMP1
ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2
actin binding LIM protein 1	ABLIM1
actin binding LIM protein family member 2	ABLIM2
actin binding LIM protein family member 3	ABLIM3
ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ABO
ABR activator of RhoGEF and GTPase	ABR
actin binding Rho activating protein	ABRA
ABRA C-terminal like	ABRACL
abraxas 1, BRCA1 A complex subunit	ABRAXAS1
abraxas 2, BRISC complex subunit	ABRAXAS2
activator of basal transcription 1	ABT1
activator of basal transcription 1 pseudogene 1	ABT1P1
ankyrin repeat and BTB domain containing 1	ABTB1
ankyrin repeat and BTB domain containing 2	ABTB2
acetyl-CoA acyltransferase 1	ACAA1
acetyl-CoA acyltransferase 2	ACAA2
acetyl-CoA carboxylase alpha	ACACA
acetyl-CoA carboxylase beta	ACACB
acyl-CoA dehydrogenase family member 8	ACAD8
acyl-CoA dehydrogenase family member 9	ACAD9
acyl-CoA dehydrogenase family member 10	ACAD10
acyl-CoA dehydrogenase family member 11	ACAD11
acyl-CoA dehydrogenase long chain	ACADL
acyl-CoA dehydrogenase medium chain	ACADM
acyl-CoA dehydrogenase short chain	ACADS
acyl-CoA dehydrogenase short/branched chain	ACADSB
acyl-CoA dehydrogenase very long chain	ACADVL
aggrecan	ACAN
ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1
ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ACAP2
ACAP2 intronic transcript 1	ACAP2-IT1
ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3
acetyl-CoA acetyltransferase 1	ACAT1
acetyl-CoA acetyltransferase 2	ACAT2
acyl-CoA binding domain containing 3	ACBD3
ACBD3 antisense RNA 1	ACBD3-AS1
acyl-CoA binding domain containing 4	ACBD4
acyl-CoA binding domain containing 5	ACBD5
acyl-CoA binding domain containing 6	ACBD6
acyl-CoA binding domain containing 7	ACBD7
1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS
1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ACCSL
ACD shelterin complex subunit and telomerase recruitment factor	ACD
angiotensin I converting enzyme	ACE
angiotensin I converting enzyme 2	ACE2
angiotensin I converting enzyme 3, pseudogene	ACE3P
alkaline ceramidase 1	ACER1
alkaline ceramidase 2	ACER2
alkaline ceramidase 3	ACER3
acetylcholinesterase (Cartwright blood group)	ACHE
apoptotic chromatin condensation inducer 1	ACIN1
atypical chemokine receptor 1 (Duffy blood group)	ACKR1
atypical chemokine receptor 2	ACKR2
atypical chemokine receptor 3	ACKR3
atypical chemokine receptor 4	ACKR4
acrocallosal syndrome	ACLS
ATP citrate lyase	ACLY
aminocarboxymuconate semialdehyde decarboxylase	ACMSD
acyl-CoA:amino acid N-acyltransferase pseudogene	ACNATP
aconitase 1	ACO1
aconitase 2	ACO2
aconitate decarboxylase 1	ACOD1
acyl-CoA thioesterase 1	ACOT1
acyl-CoA thioesterase 2	ACOT2
acyl-CoA thioesterase 4	ACOT4
acyl-CoA thioesterase 6	ACOT6
acyl-CoA thioesterase 7	ACOT7
acyl-CoA thioesterase 8	ACOT8
acyl-CoA thioesterase 9	ACOT9
acyl-CoA thioesterase 11	ACOT11
acyl-CoA thioesterase 12	ACOT12
acyl-CoA thioesterase 13	ACOT13
acyl-CoA oxidase 1	ACOX1
acyl-CoA oxidase 2	ACOX2
acyl-CoA oxidase 3, pristanoyl	ACOX3
acyl-CoA oxidase like	ACOXL
ACOXL antisense RNA 1	ACOXL-AS1
acid phosphatase 1	ACP1
acid phosphatase 2, lysosomal	ACP2
acid phosphatase 4	ACP4
acid phosphatase 5, tartrate resistant	ACP5
acid phosphatase 6, lysophosphatidic	ACP6
acid phosphatase 7, tartrate resistant (putative)	ACP7
acid phosphatase, prostate	ACPP
acrosin	ACR
acrosin binding protein	ACRBP
acrosomal vesicle protein 1	ACRV1
acyl-CoA synthetase bubblegum family member 1	ACSBG1
acyl-CoA synthetase bubblegum family member 2	ACSBG2
acyl-CoA synthetase family member 2	ACSF2
acyl-CoA synthetase family member 3	ACSF3
acyl-CoA synthetase long chain family member 1	ACSL1
acyl-CoA synthetase long chain family member 3	ACSL3
acyl-CoA synthetase long chain family member 4	ACSL4
acyl-CoA synthetase long chain family member 5	ACSL5
acyl-CoA synthetase long chain family member 6	ACSL6
acyl-CoA synthetase medium chain family member 1	ACSM1
acyl-CoA synthetase medium chain family member 2A	ACSM2A
acyl-CoA synthetase medium chain family member 2B	ACSM2B
acyl-CoA synthetase medium chain family member 3	ACSM3
acyl-CoA synthetase medium chain family member 4	ACSM4
acyl-CoA synthetase medium chain family member 5	ACSM5
acyl-CoA synthetase medium chain family member 5 pseudogene 1	ACSM5P1
acyl-CoA synthetase medium chain family member 6	ACSM6
acyl-CoA synthetase short chain family member 1	ACSS1
acyl-CoA synthetase short chain family member 2	ACSS2
acyl-CoA synthetase short chain family member 3	ACSS3
actin alpha 1, skeletal muscle	ACTA1
actin alpha 2, smooth muscle	ACTA2
ACTA2 antisense RNA 1	ACTA2-AS1
actin beta	ACTB
actin beta like 2	ACTBL2
ACTB pseudogene 1	ACTBP1
ACTB pseudogene 2	ACTBP2
ACTB pseudogene 3	ACTBP3
ACTB pseudogene 4	ACTBP4
ACTB pseudogene 6	ACTBP6
ACTB pseudogene 7	ACTBP7
ACTB pseudogene 8	ACTBP8
ACTB pseudogene 9	ACTBP9
ACTB pseudogene 10	ACTBP10
ACTB pseudogene 11	ACTBP11
ACTB pseudogene 12	ACTBP12
ACTB pseudogene 13	ACTBP13
ACTB pseudogene 14	ACTBP14
actin alpha cardiac muscle 1	ACTC1
actin gamma 1	ACTG1
actin gamma 1 pseudogene 1	ACTG1P1
actin gamma 1 pseudogene 2	ACTG1P2
actin gamma 1 pseudogene 3	ACTG1P3
actin gamma 1 pseudogene 4	ACTG1P4
actin gamma 1 pseudogene 6	ACTG1P6
actin gamma 1 pseudogene 7	ACTG1P7
actin gamma 1 pseudogene 8	ACTG1P8
actin gamma 1 pseudogene 9	ACTG1P9
actin gamma 1 pseudogene 10	ACTG1P10
actin gamma 1 pseudogene 11	ACTG1P11
actin gamma 1 pseudogene 12	ACTG1P12
actin gamma 1 pseudogene 13	ACTG1P13
actin gamma 1 pseudogene 14	ACTG1P14
actin gamma 1 pseudogene 15	ACTG1P15
actin gamma 1 pseudogene 16	ACTG1P16
actin gamma 1 pseudogene 17	ACTG1P17
actin gamma 1 pseudogene 18	ACTG1P18
actin gamma 1 pseudogene 19	ACTG1P19
actin gamma 1 pseudogene 20	ACTG1P20
actin gamma 1 pseudogene 21	ACTG1P21
actin gamma 1 pseudogene 22	ACTG1P22
actin gamma 1 pseudogene 23	ACTG1P23
actin gamma 1 pseudogene 24	ACTG1P24
actin gamma 2, smooth muscle	ACTG2
actin like 6A	ACTL6A
actin like 6B	ACTL6B
actin like 7A	ACTL7A
actin like 7B	ACTL7B
actin like 8	ACTL8
actin like 9	ACTL9
actin like 10	ACTL10
actinin alpha 1	ACTN1
ACTN1 antisense RNA 1	ACTN1-AS1
actinin alpha 2	ACTN2
actinin alpha 3 (gene/pseudogene)	ACTN3
actinin alpha 4	ACTN4
actinin alpha 4 pseudogene 1	ACTN4P1
actinin alpha 4 pseudogene 2	ACTN4P2
actin family pseudogene 1	ACTP1
actin related protein 1A	ACTR1A
actin related protein 1B	ACTR1B
actin related protein 2	ACTR2
actin related protein 3	ACTR3
ACTR3 antisense RNA 1	ACTR3-AS1
actin related protein 3B	ACTR3B
ACTR3B pseudogene 1	ACTR3BP1
ACTR3B pseudogene 2	ACTR3BP2
ACTR3B pseudogene 3	ACTR3BP3
ACTR3B pseudogene 4	ACTR3BP4
ACTR3B pseudogene 5	ACTR3BP5
ACTR3B pseudogene 6	ACTR3BP6
actin related protein 3C	ACTR3C
ACTR3 pseudogene 1	ACTR3P1
ACTR3 pseudogene 2	ACTR3P2
ACTR3 pseudogene 3	ACTR3P3
actin related protein 5	ACTR5
actin related protein 6	ACTR6
ACTR6 pseudogene 1	ACTR6P1
actin related protein 8	ACTR8
actin related protein 10	ACTR10
actin related protein T1	ACTRT1
actin related protein T2	ACTRT2
actin related protein T3	ACTRT3
activin A receptor type 1	ACVR1
activin A receptor type 1B	ACVR1B
activin A receptor type 1C	ACVR1C
activin A receptor type 2A	ACVR2A
activin A receptor type 2B	ACVR2B
ACVR2B antisense RNA 1	ACVR2B-AS1
activin A receptor like type 1	ACVRL1
aminoacylase 1	ACY1
aminoacylase 3	ACY3
acylphosphatase 1	ACYP1
acylphosphatase 2	ACYP2
Alzheimer disease 5	AD5
adenosine deaminase	ADA
adenosine deaminase 2	ADA2
adenosine deaminase domain containing 1	ADAD1
adenosine deaminase domain containing 1 pseudogene 1	ADAD1P1
adenosine deaminase domain containing 1 pseudogene 2	ADAD1P2
adenosine deaminase domain containing 2	ADAD2
adenosine deaminase like	ADAL
ADAM metallopeptidase domain 1A (pseudogene)	ADAM1A
ADAM metallopeptidase domain 1B (pseudogene)	ADAM1B
ADAM metallopeptidase domain 2	ADAM2
ADAM metallopeptidase domain 3A (pseudogene)	ADAM3A
ADAM metallopeptidase domain 3B (pseudogene)	ADAM3B
ADAM metallopeptidase domain 5 (pseudogene)	ADAM5
ADAM metallopeptidase domain 6 (pseudogene)	ADAM6
ADAM metallopeptidase domain 7	ADAM7
ADAM metallopeptidase domain 8	ADAM8
ADAM metallopeptidase domain 9	ADAM9
ADAM metallopeptidase domain 10	ADAM10
ADAM metallopeptidase domain 11	ADAM11
ADAM metallopeptidase domain 12	ADAM12
ADAM metallopeptidase domain 15	ADAM15
ADAM metallopeptidase domain 17	ADAM17
ADAM metallopeptidase domain 18	ADAM18
ADAM metallopeptidase domain 19	ADAM19
ADAM metallopeptidase domain 20	ADAM20
ADAM metallopeptidase domain 20 pseudogene 1	ADAM20P1
ADAM metallopeptidase domain 20 pseudogene 2	ADAM20P2
ADAM metallopeptidase domain 20 pseudogene 3	ADAM20P3
ADAM metallopeptidase domain 21	ADAM21
ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P1
ADAM metallopeptidase domain 22	ADAM22
ADAM metallopeptidase domain 23	ADAM23
ADAM metallopeptidase domain 24, pseudogene	ADAM24P
ADAM metallopeptidase domain 28	ADAM28
ADAM metallopeptidase domain 29	ADAM29
ADAM metallopeptidase domain 30	ADAM30
ADAM metallopeptidase domain 32	ADAM32
ADAM metallopeptidase domain 33	ADAM33
ADAM like decysin 1	ADAMDEC1
ADAM metallopeptidase with thrombospondin type 1 motif 1	ADAMTS1
ADAM metallopeptidase with thrombospondin type 1 motif 2	ADAMTS2
ADAM metallopeptidase with thrombospondin type 1 motif 3	ADAMTS3
ADAM metallopeptidase with thrombospondin type 1 motif 4	ADAMTS4
ADAM metallopeptidase with thrombospondin type 1 motif 5	ADAMTS5
ADAM metallopeptidase with thrombospondin type 1 motif 6	ADAMTS6
ADAM metallopeptidase with thrombospondin type 1 motif 7	ADAMTS7
ADAMTS7 pseudogene 1	ADAMTS7P1
ADAMTS7 pseudogene 3	ADAMTS7P3
ADAMTS7 pseudogene 4	ADAMTS7P4
ADAM metallopeptidase with thrombospondin type 1 motif 8	ADAMTS8
ADAM metallopeptidase with thrombospondin type 1 motif 9	ADAMTS9
ADAMTS9 antisense RNA 1	ADAMTS9-AS1
ADAMTS9 antisense RNA 2	ADAMTS9-AS2
ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAMTS10
ADAM metallopeptidase with thrombospondin type 1 motif 12	ADAMTS12
ADAM metallopeptidase with thrombospondin type 1 motif 13	ADAMTS13
ADAM metallopeptidase with thrombospondin type 1 motif 14	ADAMTS14
ADAM metallopeptidase with thrombospondin type 1 motif 15	ADAMTS15
ADAM metallopeptidase with thrombospondin type 1 motif 16	ADAMTS16
ADAM metallopeptidase with thrombospondin type 1 motif 17	ADAMTS17
ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAMTS18
ADAM metallopeptidase with thrombospondin type 1 motif 19	ADAMTS19
ADAMTS19 antisense RNA 1	ADAMTS19-AS1
ADAM metallopeptidase with thrombospondin type 1 motif 20	ADAMTS20
ADAMTS like 1	ADAMTSL1
ADAMTS like 2	ADAMTSL2
ADAMTS like 3	ADAMTSL3
ADAMTS like 4	ADAMTSL4
ADAMTSL4 antisense RNA 1	ADAMTSL4-AS1
ADAMTS like 5	ADAMTSL5
ArfGAP with dual PH domains 1	ADAP1
ArfGAP with dual PH domains 2	ADAP2
adenosine deaminase RNA specific	ADAR
adenosine deaminase RNA specific B1	ADARB1
adenosine deaminase RNA specific B2 (inactive)	ADARB2
ADARB2 antisense RNA 1	ADARB2-AS1
adenosine deaminase tRNA specific 1	ADAT1
adenosine deaminase tRNA specific 2	ADAT2
adenosine deaminase tRNA specific 3	ADAT3
aarF domain containing kinase 1	ADCK1
aarF domain containing kinase 2	ADCK2
aarF domain containing kinase 5	ADCK5
adenosine deaminase complexing protein 1	ADCP1
adenylate cyclase 1	ADCY1
adenylate cyclase 2	ADCY2
adenylate cyclase 3	ADCY3
adenylate cyclase 4	ADCY4
adenylate cyclase 5	ADCY5
adenylate cyclase 6	ADCY6
adenylate cyclase 7	ADCY7
adenylate cyclase 8	ADCY8
adenylate cyclase 9	ADCY9
adenylate cyclase 10	ADCY10
ADCY10 pseudogene 1	ADCY10P1
adenylate cyclase activating polypeptide 1	ADCYAP1
ADCYAP receptor type I	ADCYAP1R1
adducin 1	ADD1
adducin 2	ADD2
adducin 3	ADD3
ADD3 antisense RNA 1	ADD3-AS1
albinism-deafness syndrome	ADFN
androglobin	ADGB
adhesion G protein-coupled receptor A1	ADGRA1
adhesion G protein-coupled receptor A1 antisense RNA 1	ADGRA1-AS1
adhesion G protein-coupled receptor A2	ADGRA2
adhesion G protein-coupled receptor A3	ADGRA3
adhesion G protein-coupled receptor B1	ADGRB1
adhesion G protein-coupled receptor B2	ADGRB2
adhesion G protein-coupled receptor B3	ADGRB3
adhesion G protein-coupled receptor D1	ADGRD1
ADGRD1 antisense RNA 1	ADGRD1-AS1
adhesion G protein-coupled receptor D2	ADGRD2
adhesion G protein-coupled receptor E1	ADGRE1
adhesion G protein-coupled receptor E2	ADGRE2
adhesion G protein-coupled receptor E3	ADGRE3
adhesion G protein-coupled receptor E4, pseudogene	ADGRE4P
adhesion G protein-coupled receptor E5	ADGRE5
adhesion G protein-coupled receptor F1	ADGRF1
adhesion G protein-coupled receptor F2	ADGRF2
adhesion G protein-coupled receptor F3	ADGRF3
adhesion G protein-coupled receptor F4	ADGRF4
adhesion G protein-coupled receptor F5	ADGRF5
adhesion G protein-coupled receptor F5 pseudogene 1	ADGRF5P1
adhesion G protein-coupled receptor F5 pseudogene 2	ADGRF5P2
adhesion G protein-coupled receptor G1	ADGRG1
adhesion G protein-coupled receptor G2	ADGRG2
adhesion G protein-coupled receptor G3	ADGRG3
adhesion G protein-coupled receptor G4	ADGRG4
adhesion G protein-coupled receptor G5	ADGRG5
adhesion G protein-coupled receptor G6	ADGRG6
adhesion G protein-coupled receptor G7	ADGRG7
adhesion G protein-coupled receptor L1	ADGRL1
adhesion G protein-coupled receptor L2	ADGRL2
adhesion G protein-coupled receptor L3	ADGRL3
adhesion G protein-coupled receptor L3 antisense RNA 1	ADGRL3-AS1
adhesion G protein-coupled receptor L4	ADGRL4
adhesion G protein-coupled receptor V1	ADGRV1
alcohol dehydrogenase 1A (class I), alpha polypeptide	ADH1A
alcohol dehydrogenase 1B (class I), beta polypeptide	ADH1B
alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH1C
alcohol dehydrogenase 4 (class II), pi polypeptide	ADH4
alcohol dehydrogenase 5 (class III), chi polypeptide	ADH5
ADH5 pseudogene 2	ADH5P2
ADH5 pseudogene 3	ADH5P3
ADH5 pseudogene 4	ADH5P4
alcohol dehydrogenase 6 (class V)	ADH6
alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	ADH7
alcohol dehydrogenase iron containing 1	ADHFE1
acireductone dioxygenase 1	ADI1
acireductone dioxygenase 1 pseudogene 1	ADI1P1
acireductone dioxygenase 1 pseudogene 2	ADI1P2
acireductone dioxygenase 1 pseudogene 3	ADI1P3
adipogenin	ADIG
adiponectin, C1Q and collagen domain containing	ADIPOQ
ADIPOQ antisense RNA 1	ADIPOQ-AS1
adiponectin receptor 1	ADIPOR1
adiponectin receptor 1 pseudogene 1	ADIPOR1P1
adiponectin receptor 1 pseudogene 2	ADIPOR1P2
adiponectin receptor 2	ADIPOR2
adipogenesis regulatory factor	ADIRF
ADIRF antisense RNA 1	ADIRF-AS1
adenosine kinase	ADK
adrenomedullin	ADM
adrenomedullin 2	ADM2
adrenomedullin 5 (putative)	ADM5
activity dependent neuroprotector homeobox	ADNP
ADNP antisense RNA 1	ADNP-AS1
ADNP homeobox 2	ADNP2
2-aminoethanethiol dioxygenase	ADO
adenosine A1 receptor	ADORA1
adenosine A2a receptor	ADORA2A
ADORA2A antisense RNA 1	ADORA2A-AS1
adenosine A2b receptor	ADORA2B
adenosine A2b receptor pseudogene 1	ADORA2BP1
adenosine A3 receptor	ADORA3
ADP dependent glucokinase	ADPGK
ADPGK antisense RNA 1	ADPGK-AS1
ADP-ribosylarginine hydrolase	ADPRH
ADP-ribosylhydrolase like 1	ADPRHL1
ADP-ribosylhydrolase like 2	ADPRHL2
ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	ADPRM
adrenoceptor alpha 1A	ADRA1A
adrenoceptor alpha 1B	ADRA1B
adrenoceptor alpha 1D	ADRA1D
adrenoceptor alpha 2A	ADRA2A
adrenoceptor alpha 2B	ADRA2B
adrenoceptor alpha 2C	ADRA2C
adrenoceptor beta 1	ADRB1
adrenoceptor beta 2	ADRB2
adrenoceptor beta 3	ADRB3
adhesion regulating molecule 1	ADRM1
adenylosuccinate lyase	ADSL
adenylosuccinate synthase	ADSS
adenylosuccinate synthase like 1	ADSSL1
androgen dependent TFPI regulating protein	ADTRP
AE binding protein 1	AEBP1
AE binding protein 2	AEBP2
apoptosis enhancing nuclease	AEN
AF8 temperature sensitivity complementing	AF8T
ankyloblepharon filiforme adnatum	AFA
actin filament associated protein 1	AFAP1
AFAP1 antisense RNA 1	AFAP1-AS1
actin filament associated protein 1 like 1	AFAP1L1
actin filament associated protein 1 like 2	AFAP1L2
acrofacial dysostosis 1, Nager type	AFD1
afadin, adherens junction formation factor	AFDN
AFDN divergent transcript	AFDN-DT
AF4/FMR2 family member 1	AFF1
AFF1 antisense RNA 1	AFF1-AS1
AF4/FMR2 family member 2	AFF2
AFF2 intronic transcript 1	AFF2-IT1
AF4/FMR2 family member 3	AFF3
AF4/FMR2 family member 4	AFF4
AFG1 like ATPase	AFG1L
AFG3 like matrix AAA peptidase subunit 1, pseudogene	AFG3L1P
AFG3 like matrix AAA peptidase subunit 2	AFG3L2
AFG3 like AAA ATPase 2 pseudogene 1	AFG3L2P1
afamin	AFM
arylformamidase	AFMID
alpha fetoprotein	AFP
aftiphilin	AFTPH
aspartylglucosaminidase	AGA
ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	AGAP1
AGAP1 intronic transcript 1	AGAP1-IT1
ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	AGAP2
AGAP2 antisense RNA 1	AGAP2-AS1
ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	AGAP3
ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	AGAP4
ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	AGAP5
ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	AGAP6
ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	AGAP7P
ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	AGAP9
ArfGAP with GTPase domain, ankyrin repeat and PH domain 10, pseudogene	AGAP10P
ArfGAP with GTPase domain, ankyrin repeat and PH domain 11	AGAP11
ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene	AGAP12P
ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene	AGAP13P
ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene	AGAP14P
ATP/GTP binding protein like 1	AGBL1
AGBL1 antisense RNA 1	AGBL1-AS1
ATP/GTP binding protein like 2	AGBL2
ATP/GTP binding protein like 3	AGBL3
ATP/GTP binding protein like 4	AGBL4
AGBL4 intronic transcript 1	AGBL4-IT1
ATP/GTP binding protein like 5	AGBL5
AGBL5 antisense RNA 1	AGBL5-AS1
AGBL5 intronic transcript 1	AGBL5-IT1
advanced glycosylation end-product specific receptor	AGER
ArfGAP with FG repeats 1	AGFG1
ArfGAP with FG repeats 2	AGFG2
angiogenic factor with G-patch and FHA domains 1	AGGF1
angiogenic factor with G-patch and FHA domains 1 pseudogene 1	AGGF1P1
angiogenic factor with G-patch and FHA domains 1 pseudogene 2	AGGF1P2
