Abnormality of body height	Abnormality of body height
Abnormality of the clit	Abnormality of the clitoris
Hypoplasia of labia majora	Hypoplastic labia majora
Small labia majora	Hypoplastic labia majora
Underdeveloped vaginal lips	Hypoplastic labia majora
Hypoplastic clitoris	Clitoral hypoplasia
Small clitoris	Clitoral hypoplasia
Underdeveloped clit	Clitoral hypoplasia
Ambiguous genitalia due to virilization	Ambiguous genitalia, female
Atypical appearance of female genitals	Ambiguous genitalia, female
Ambiguous external genitalia	Ambiguous genitalia
Ambiguous external genitalia at birth	Ambiguous genitalia
Intersex genitalia	Ambiguous genitalia
Fused inner lips	Fused labia minora
Underdeveloped inner lips	Hypoplastic labia minora
Enlargement of the labia	Labial hypertrophy
Enlargement of the vaginal lips	Labial hypertrophy
Hypoplastic labia	Labial hypoplasia
Underdeveloped labia	Labial hypoplasia
Abnormality of the ureters	Abnormality of the ureter
Ureter issue	Abnormality of the ureter
Ureteral anomalies	Abnormality of the ureter
Narrowing of the ureter	Ureteral stenosis
Megaureter	Hydroureter
Swelling of ureter	Hydroureter
Ureteral dilatation	Hydroureter
Uroureter	Hydroureter
Double ureter	Ureteral duplication
Pelviureteric junction obstruction	Ureteropelvic junction obstruction
Extra kidney	Renal duplication
Supernumerary kidney	Renal duplication
Ureteral reflux	Vesicoureteral reflux
Ureteric reflux	Vesicoureteral reflux
Vesicoureteric reflux	Vesicoureteral reflux
Abnormal kidney	Abnormality of the kidney
Abnormality of the kidney	Abnormality of the kidney
Renal anomalies	Abnormality of the kidney
Renal anomaly	Abnormality of the kidney
Abnormality of the reproductive system	Abnormality of the genital system
Genital abnormalities	Abnormality of the genital system
Genital abnormality	Abnormality of the genital system
Genital anomalies	Abnormality of the genital system
Genital defects	Abnormality of the genital system
Urinary tract abnormalities	Abnormality of the urinary system
Urinary tract abnormality	Abnormality of the urinary system
Urinary tract anomalies	Abnormality of the urinary system
Abnormality of genital physiology	Abnormality of reproductive system physiology
Abnormality of reproductive system physiology	Abnormality of reproductive system physiology
Genital functional abnormality	Abnormality of reproductive system physiology
Double collecting system	Duplicated collecting system
Double urinary collecting systems on intravenous pyelography	Duplicated collecting system
Duplex collecting system	Duplicated collecting system
Duplicated renal collecting system	Duplicated collecting system
Renal failure	Renal insufficiency
Renal failure in adulthood	Renal insufficiency
Fused kidneys	Horseshoe kidney
Horseshoe kidney	Horseshoe kidney
Horseshoe kidneys	Horseshoe kidney
Abnormal kidney location	Ectopic kidney
Displaced kidney	Ectopic kidney
Ectopic kidneys	Ectopic kidney
Renal ectopia	Ectopic kidney
Hypoplastic kidney	Renal hypoplasia
Hypoplastic kidneys	Renal hypoplasia
Small kidneys	Renal hypoplasia
Underdeveloped kidneys	Renal hypoplasia
juvenile nephronophthisis	Nephronophthisis
Renal tubular cell atrophy	Tubular atrophy
High urine protein levels	Proteinuria
Protein in urine	Proteinuria
Renal glomerular fibrosis	Glomerulosclerosis
Focal and segmental glomerular sclerosis	Focal segmental glomerulosclerosis
Focal and segmental glomerulosclerosis	Focal segmental glomerulosclerosis
focal glomerulosclerosis	Focal segmental glomerulosclerosis
Accelerated linear growth	Tall stature
Increased body height	Tall stature
Increased linear growth	Tall stature
Tall stature	Tall stature
Glomerular nephritis	Glomerulonephritis
Nephrosis	Nephrotic syndrome
Increased urine output	Polyuria
Absent kidney	Renal agenesis
Missing kidney	Renal agenesis
Renal aplasia	Renal agenesis
Enlarged kidney	Enlarged kidney
Large kidney	Enlarged kidney
Large kidneys	Enlarged kidney
Nephromegaly	Enlarged kidney
Renal enlargement	Enlarged kidney
Cystic kidney disease	Renal cyst
Cystic kidneys	Renal cyst
Kidney cyst	Renal cyst
Renal cysts	Renal cyst
Corticomedullary renal cysts	Renal corticomedullary cysts
Renal corticomedullary cystic disease	Renal corticomedullary cysts
Dysplastic kidneys	Renal dysplasia
Renal adysplasia	Renal dysplasia
Kidney damage	Nephropathy
Kidney disease	Nephropathy
Enlarged polycystic kidneys	Polycystic kidney dysplasia
Polycystic kidney disease	Polycystic kidney dysplasia
Polycystic kidneys	Polycystic kidney dysplasia
Proximal renal tubule defect	Proximal tubulopathy
Proximal renal tubulopathy	Proximal tubulopathy
Proximal tubular defect	Proximal tubulopathy
Proximal tubule dysfunction	Proximal tubulopathy
Selective proximal tubular damage	Proximal tubulopathy
Decreased renal tubular phosphate reabsorption	Renal phosphate wasting
Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate	Renal phosphate wasting
Tubular phosphate reabsorption low	Renal phosphate wasting
Organ abnormality	Phenotypic abnormality
Genitourinary abnormality	Abnormality of the genitourinary system
Genitourinary disease	Abnormality of the genitourinary system
Genitourinary dysplasia	Abnormality of the genitourinary system
Genitourinary tract anomalies	Abnormality of the genitourinary system
Genitourinary tract malformation	Abnormality of the genitourinary system
Urogenital abnormalities	Abnormality of the genitourinary system
Urogenital anomalies	Abnormality of the genitourinary system
Increased calcium level in kidney	Nephrocalcinosis
Too much calcium deposited in kidneys	Nephrocalcinosis
Absent kidney on one side	Unilateral renal agenesis
Missing one kidney	Unilateral renal agenesis
Single kidney	Unilateral renal agenesis
Unilateral kidney agenesis	Unilateral renal agenesis
Kidney inflammation	Nephritis
Abnormal function of filtrating structures in kidney	Renal tubular dysfunction
Renal tubular defect	Renal tubular dysfunction
Renal tubular disease	Renal tubular dysfunction
Sacral kidney	Pelvic kidney
Loss of salt in urine	Renal salt wasting
Renal salt-wasting	Renal salt wasting
Salt wasting	Renal salt wasting
Salt-wasting	Renal salt wasting
Abnormality of the uterus	Abnormality of the uterus
Uterine abnormalities	Abnormality of the uterus
Uterine malformations	Abnormality of the uterus
Benign uterine leiomyomas	Uterine leiomyoma
Uterine fibroid	Uterine leiomyoma
Abnormally heavy bleeding during menstruation	Menorrhagia
Hypermenorrhea	Menorrhagia
Mixed gonadal dysgenesis	Gonadal dysgenesis
Pure gonadal dysgenesis	Gonadal dysgenesis
Hypogonadism, female	Female hypogonadism
Decreased activity of gonads	Hypogonadism
Abnormality of the ovaries	Abnormality of the ovary
Abnormality of the ovary	Abnormality of the ovary
Ovarian disease	Abnormality of the ovary
Cystic abnormalities of the ovaries	Ovarian cyst
Cystic ovaries	Ovarian cyst
Ovarian cyst	Ovarian cyst
Ovarian cystic abnormality	Ovarian cyst
Sagging uterus	Uterine prolapse
Abnormality of the menstrual cycle	Abnormality of the menstrual cycle
Menstrual abnormalities	Abnormality of the menstrual cycle
Abnormal absence of menstruation	Amenorrhea
Vaginal malformation	Abnormal vagina morphology
Abnormal connection between rectum and vagina	Rectovaginal fistula
Abnormal fertility	Decreased fertility
Decreased fertility	Decreased fertility
Transverse vaginal membrane	Transverse vaginal septum
Polycystic ovary	Polycystic ovaries
Polycystic ovary disease	Polycystic ovaries
Sclerocystic ovaries	Polycystic ovaries
Abnormally closed or absent vagina	Vaginal atresia
Gonadoblastoma, female	Ovarian gonadoblastoma
Absent uterus	Aplasia of the uterus
uterus absent	Aplasia of the uterus
Abnormality of head or neck	Abnormality of head or neck
Head and neck abnormality	Abnormality of head or neck
Abnormal mouth	Abnormality of the mouth
Abnormality of the mouth	Abnormality of the mouth
Broad mouth	Wide mouth
Large mouth	Wide mouth
Large oral aperture	Wide mouth
Macrostomia	Wide mouth
Wide mouth	Wide mouth
Mouth sore	Oral ulcer
Mouth ulcer	Oral ulcer
Abnormal tongue	Abnormality of the tongue
Abnormality of the tongue	Abnormality of the tongue
Glossal abnormality	Abnormality of the tongue
Lingual abnormality	Abnormality of the tongue
Tongue abnormality	Abnormality of the tongue
Abnormally large tongue	Macroglossia
Glossal hypertrophy	Macroglossia
Hyperplasia of the tongue	Macroglossia
Hypertrophy of the tongue	Macroglossia
Increased size of tongue	Macroglossia
Large tongue	Macroglossia
Lingual hyperplasia	Macroglossia
Lingual hypertrophy	Macroglossia
Tongue hypertrophy	Macroglossia
Abnormal lip	Abnormal lip morphology
Abnormality of the lip	Abnormal lip morphology
Anomaly of lip	Abnormal lip morphology
Deformity of lip	Abnormal lip morphology
Lip abnormality	Abnormal lip morphology
Malformation of lip	Abnormal lip morphology
Microstomia	Narrow mouth
Narrow mouth	Narrow mouth
Small mouth	Narrow mouth
Small oral aperture	Narrow mouth
Central cleft upper lip	Median cleft lip
Midline cleft lip	Median cleft lip
Lingual retraction	Glossoptosis
Posterior displacement of the tongue	Glossoptosis
Retraction of the tongue	Glossoptosis
Abnormality of the oral cavity	Abnormal oral cavity morphology
Abnormal dentition	Abnormality of the dentition
Abnormal teeth	Abnormality of the dentition
Abnormality of the teeth	Abnormality of the dentition
Dental abnormalities	Abnormality of the dentition
Dental abnormality	Abnormality of the dentition
Dental anomalies	Abnormality of the dentition
Dental problem	Abnormality of the dentition
Dental problems	Abnormality of the dentition
Tooth abnormalities	Abnormality of the dentition
Severe gum disease	Severe periodontitis
Severe periodontal disease	Severe periodontitis
Severe pyorrhea	Severe periodontitis
Abnormality of the gums	Abnormality of the gingiva
Gingival abnormality	Abnormality of the gingiva
Gingival fibroma	Gingival fibromatosis
Gingival fibrous nodules	Gingival fibromatosis
Hereditary gingival fibromatosis	Gingival fibromatosis
Idiopathic gingival hyperplasia	Gingival fibromatosis
Abnormally small tongue	Microglossia
Decreased size of tongue	Microglossia
Hypoglossia	Microglossia
Hypoplasia of the tongue	Microglossia
Hypoplastic tongue	Microglossia
Lingual hypoplasia	Microglossia
Rudimentary tongue	Microglossia
Small tongue	Microglossia
Underdevelopment of the tongue	Microglossia
Abnormality of palatine uvula	Abnormality of the uvula
Abnormality of the uvula	Abnormality of the uvula
Abnormality of the palate	Abnormal palate morphology
Abnormality of the roof of the mouth	Abnormal palate morphology
Palatal anomaly	Abnormal palate morphology
Palate abnormality	Abnormal palate morphology
Cleft hard and soft palate	Cleft palate
Cleft of hard and soft palate	Cleft palate
Cleft of palate	Cleft palate
Cleft palate	Cleft palate
Cleft roof of mouth	Cleft palate
Cleft secondary palate	Cleft palate
Palatoschisis	Cleft palate
Uranostaphyloschisis	Cleft palate
Partial thickness cleft hard palate	Submucous cleft hard palate
Submucosal cleft palate	Submucous cleft hard palate
Submucous clefting	Submucous cleft hard palate
Abnormality of upper lip	Abnormality of upper lip
Anomaly of the upper lip	Abnormality of upper lip
Deformity of the upper lip	Abnormality of upper lip
Malformation of the upper lip	Abnormality of upper lip
Abnormality of lower lip	Abnormality of lower lip
Anomaly of the lower lip	Abnormality of lower lip
Deformity of the lower lip	Abnormality of lower lip
Malformation of the lower lip	Abnormality of lower lip
Full lower lip	Thick lower lip vermilion
Full lower lip vermilion	Thick lower lip vermilion
Increased height of lower lip vermilion	Thick lower lip vermilion
Increased volume of lower lip	Thick lower lip vermilion
Increased volume of lower lip vermilion	Thick lower lip vermilion
Plump lower lip	Thick lower lip vermilion
Prominent lower lip	Thick lower lip vermilion
Prominent lower lip vermilion	Thick lower lip vermilion
Thick lower lip	Thick lower lip vermilion
Thick red part of the lower lip	Thick lower lip vermilion
Thick vermilion border of lower lip	Thick lower lip vermilion
Bumpy tongue	Lobulated tongue
Lingual lobules	Lobulated tongue
Lobulate tongue	Lobulated tongue
Abnormality of lingual movement	Movement abnormality of the tongue
Movement abnormality of the tongue	Movement abnormality of the tongue
Difficulty in lingual movements	Difficulty in tongue movements
Difficulty in tongue movements	Difficulty in tongue movements
Hypokinesia of the tongue	Difficulty in tongue movements
Lingual hypokinesia	Difficulty in tongue movements
Cleft muscular palate	Cleft soft palate
Cleft of soft palate	Cleft soft palate
Cleft velum	Cleft soft palate
Broad alveolar margins	Broad alveolar ridges
Broad alveolar processes of jaw	Broad alveolar ridges
Wide alveolar margins	Broad alveolar ridges
Wide alveolar processes of jaw	Broad alveolar ridges
Wide gum ridges	Broad alveolar ridges
Widened alveolar ridges	Broad alveolar ridges
Decreased height of upper lip	Short upper lip
Decreased upper labial height	Short upper lip
Decreased upper labial length	Short upper lip
Decreased vertical length of upper lip	Short upper lip
Short upper lip	Short upper lip
Shortening of upper lip	Short upper lip
Vertical deficiency of upper lip	Short upper lip
Decreased palatal width	Narrow palate
Decreased transverse dimension of palate	Narrow palate
Narrow palate	Narrow palate
Narrow roof of mouth	Narrow palate
Abnormality of frenum of tongue	Abnormal oral frenulum morphology
Abnormality of lingual frenum	Abnormal oral frenulum morphology
Abnormality of oral frenula	Abnormal oral frenulum morphology
Abnormality of oral frenum	Abnormal oral frenulum morphology
Accessory oral frenum	Accessory oral frenulum
Extra oral frenulum	Accessory oral frenulum
Extra oral frenum	Accessory oral frenulum
Multiple oral frenula	Accessory oral frenulum
Supernumerary oral frenulum	Accessory oral frenulum
Supernumerary oral frenum	Accessory oral frenulum
Bifid palatine uvula	Bifid uvula
Cleft uvula	Bifid uvula
Forked uvula	Bifid uvula
Split uvula	Bifid uvula
Uvula bifida	Bifid uvula
Gaped jawed appearance	Open mouth
Gaped mouthed appearance	Open mouth
Open mouth	Open mouth
Open mouth appearance	Open mouth
Slack jawed appearance	Open mouth
Abnormality of parotid gland	Abnormal parotid gland morphology
Anomaly of the parotid gland	Abnormal parotid gland morphology
Absence of parotid duct	Absence of Stensen duct
Absent stensen duct	Absence of Stensen duct
Agenesis of parotid duct	Absence of Stensen duct
Agenesis of stensen duct	Absence of Stensen duct
Failure of development of parotid duct	Absence of Stensen duct
Failure of development of stensen duct	Absence of Stensen duct
Missing parotid duct	Absence of Stensen duct
Missing stensen duct	Absence of Stensen duct
Lingual nodules	Tongue nodules
Deficiency of lingual frenulum	Short lingual frenulum
Hypoplasia of lingual frenulum	Short lingual frenulum
Hypoplasia of lingual frenum	Short lingual frenulum
Hypoplasia of tongue frenulum	Short lingual frenulum
Hypoplasia of tongue frenum	Short lingual frenulum
Short lingual frenum	Short lingual frenulum
Short tongue frenulum	Short lingual frenulum
Short tongue frenum	Short lingual frenulum
Tight lingual frenulum	Short lingual frenulum
Pierre Robin sequence	Pierre-Robin sequence
Pierre-robin anomaly	Pierre-Robin sequence
Pierre-robin deformity	Pierre-Robin sequence
Pierre-robin malformation	Pierre-Robin sequence
Robin sequence	Pierre-Robin sequence
Cleft lip, cleft palate	Oral cleft
Cleft lip/palate	Oral cleft
Cleft of the mouth	Oral cleft
Oral clefting	Oral cleft
Cheiloschisis of upper lip	Cleft upper lip
Cleft of upper lip	Cleft upper lip
Cleft upper lip	Cleft upper lip
Harelip	Cleft upper lip
Pursed lips	Pursed lips
Tightly closed lips	Pursed lips
Inflammation of the tongue	Glossitis
Lingual inflammation	Glossitis
Smooth swollen tongue	Glossitis
Triangular mouth	Triangular mouth
Triangular shaped mouth	Triangular mouth
Triangular shaped oral aperture	Triangular mouth
Decrease in jaw mobility	Trismus
Decrease in jaw movement	Trismus
Decrease in jaw opening	Trismus
Decrease in mandibular mobility	Trismus
Decrease in mandibular movement	Trismus
Decrease in mandibular opening	Trismus
Limited jaw mobility	Trismus
Limited jaw movement	Trismus
Limited jaw opening	Trismus
Limited mandibular mobility	Trismus
Limited mandibular opening	Trismus
Limited mouth opening	Trismus
Lockjaw	Trismus
Pain of muscles of mastication	Trismus
Gingival enlargement	Gingival overgrowth
Gingival hyperplasia	Gingival overgrowth
Gum enlargement	Gingival overgrowth
Gum hypertrophy	Gingival overgrowth
Hypertrophic gingivitis	Gingival overgrowth
Oral soft tissue hyperplasia	Gingival overgrowth
Angioectasias of the lip	Lip telangiectasia
Labial angioectasias	Lip telangiectasia
Labial telangiectasia	Lip telangiectasia
Lip telangiectases	Lip telangiectasia
Spider veins of the lip	Lip telangiectasia
Telangiectasia of the lips	Lip telangiectasia
Full upper lip	Thick upper lip vermilion
Full upper lip vermilion	Thick upper lip vermilion
Increased height of upper lip vermilion	Thick upper lip vermilion
Increased volume of upper lip	Thick upper lip vermilion
Increased volume of upper lip vermilion	Thick upper lip vermilion
Plump upper lip	Thick upper lip vermilion
Prominent upper lip	Thick upper lip vermilion
Prominent upper lip vermilion	Thick upper lip vermilion
Thick red part of the upper lip	Thick upper lip vermilion
Thick upper lip	Thick upper lip vermilion
Thick vermilion border of upper lip	Thick upper lip vermilion
Secondary alveolar ridges	Broad secondary alveolar ridge
Decreased salivary flow	Xerostomia
Dry mouth	Xerostomia
Dry mouth syndrome	Xerostomia
Reduced salivation	Xerostomia
Elevated palate	High palate
High palate	High palate
High, arched palate	High palate
High-arched palate	High palate
Increased palatal height	High palate
Decreased height of upper lip vermilion	Thin upper lip vermilion
Decreased volume of upper lip	Thin upper lip vermilion
Decreased volume of upper lip vermilion	Thin upper lip vermilion
Thin red part of the upper lip	Thin upper lip vermilion
Thin upper lip	Thin upper lip vermilion
Thin upper lips	Thin upper lip vermilion
Thin vermilion border of upper lip	Thin upper lip vermilion
Velopharyngeal dysfunction	Velopharyngeal insufficiency
Velopharyngeal incompetence	Velopharyngeal insufficiency
Fissured tongue	Furrowed tongue
Grooved tongue	Furrowed tongue
Lingual furrow	Furrowed tongue
Lingue plicata	Furrowed tongue
Plicated tongue	Furrowed tongue
Prominent tongue grooves	Furrowed tongue
Scrotal tongue	Furrowed tongue
Hyperkeratosis, gingival	Gingival hyperkeratosis
Abnormality of taste sensation	Abnormality of taste sensation
Decreased taste	Decreased taste sensation
Decreased taste sensation	Decreased taste sensation
Lost taste	Decreased taste sensation
Bleeding gums	Gingival bleeding
Gingival hemorrhage	Gingival bleeding
Gingivorrhagia	Gingival bleeding
Angioectasias of the tongue	Tongue telangiectasia
Lingual angioectasias	Tongue telangiectasia
Lingual telangiectasia	Tongue telangiectasia
Spider veins of the tongue	Tongue telangiectasia
Angioectasias of the mouth	Oral cavity telangiectasia
Angioectasias of the oral cavity	Oral cavity telangiectasia
Oral cavity teleangiectasia	Oral cavity telangiectasia
Spider veins of the mouth	Oral cavity telangiectasia
Spider veins of the oral cavity	Oral cavity telangiectasia
Gingival inflammation	Gingivitis
Inflamed gums	Gingivitis
Red and swollen gums	Gingivitis
Drooping lower lip	Everted lower lip vermilion
Eclabium of lower lip	Everted lower lip vermilion
Everted lower lip	Everted lower lip vermilion
Everted prominent lower lip	Everted lower lip vermilion
Outward turned lower lip	Everted lower lip vermilion
Protruding lower lip	Everted lower lip vermilion
Decreased volume of lip	Thin vermilion border
Decreased volume of lip vermillion	Thin vermilion border
Thin lips	Thin vermilion border
Thin vermilion borders	Thin vermilion border
Thin vermillion	Thin vermilion border
Abnormal head	Abnormality of the head
Abnormality of the head	Abnormality of the head
Head abnormality	Abnormality of the head
Abnormality of the forehead soft spot	Abnormality of the anterior fontanelle
Small anterior fontanel	Small anterior fontanelle
Small forehead fontanel	Small anterior fontanelle
Hydrocephaly	Hydrocephalus
Nonsyndromal hydrocephalus	Hydrocephalus
Too much cerebrospinal fluid in the brain	Hydrocephalus
Enlarged fontanelles	Large fontanelles
Large bregma sutures	Large fontanelles
Large fontanel	Large fontanelles
Large fontanelle	Large fontanelles
Large fontanels	Large fontanelles
Large, late-closing fontanelle	Large fontanelles
Persistent wide fontanel	Large fontanelles
Wide bregma sutures	Large fontanelles
Wide fontanelles	Large fontanelles
Abnormality of cranium size	Abnormality of skull size
Abnormality of head size	Abnormality of skull size
Abnormality of skull size	Abnormality of skull size
Biparietal bossing	Parietal bossing
Bossing of parietal bone	Parietal bossing
Triangular cranium shape	Trigonocephaly
Triangular head shape	Trigonocephaly
Triangular skull shape	Trigonocephaly
Wedge shaped cranium	Trigonocephaly
Wedge shaped head	Trigonocephaly
Wedge shaped skull	Trigonocephaly
Brachy-turricephaly	Brachyturricephaly
High, prominent forehead	Brachyturricephaly
Turribrachycephaly	Brachyturricephaly
Abnormality of the sinuses	Abnormality of the paranasal sinuses
Abnormality of the sinuses of the head	Abnormality of the paranasal sinuses
Sinus disease	Sinusitis
Sinus infection	Sinusitis
Sinus inflammation	Sinusitis
Broad cranium shape	Brachycephaly
Broad head shape	Brachycephaly
Broad skull shape	Brachycephaly
Short and broad skull	Brachycephaly
Wide cranium shape	Brachycephaly
Wide head shape	Brachycephaly
Wide skull shape	Brachycephaly
Dense skull cap	Dense calvaria
Abnormally small cranium	Microcephaly
Abnormally small head	Microcephaly
Abnormally small skull	Microcephaly
Decreased circumference of cranium	Microcephaly
Decreased size of cranium	Microcephaly
Decreased size of head	Microcephaly
Decreased size of skull	Microcephaly
Reduced head circumference	Microcephaly
small calvarium	Microcephaly
small cranium	Microcephaly
Small head	Microcephaly
Small head circumference	Microcephaly
Small skull	Microcephaly
Microcephaly, postnatal, progressive	Progressive microcephaly
Microcephaly, progressive	Progressive microcephaly
Progressively abnormally small cranium	Progressive microcephaly
Progressively abnormally small skull	Progressive microcephaly
Big calvaria	Macrocephaly
Big cranium	Macrocephaly
Big head	Macrocephaly
Big skull	Macrocephaly
Increased size of cranium	Macrocephaly
Increased size of head	Macrocephaly
Increased size of skull	Macrocephaly
Large calvaria	Macrocephaly
Large cranium	Macrocephaly
Large head	Macrocephaly
Large head circumference	Macrocephaly
Large skull	Macrocephaly
Macrocrania	Macrocephaly
Megacephaly	Macrocephaly
Large anterior fontanel	Wide anterior fontanel
Large anterior fontanelle	Wide anterior fontanel
Large anterior fontanels	Wide anterior fontanel
Large open anterior fontanel	Wide anterior fontanel
Large open anterior fontanelle	Wide anterior fontanel
Wide anterior fontanelle	Wide anterior fontanel
Wide open anterior fontanelle	Wide anterior fontanel
Wider-than-typical soft spot of skull	Wide anterior fontanel
Tall shaped cranium	Turricephaly
Tall shaped head	Turricephaly
Tall shaped skull	Turricephaly
Tower cranium shape	Turricephaly
Tower skull shape	Turricephaly
Acrocephaly	Oxycephaly
Abnormality of mastoid process of temporal bone	Abnormality of the mastoid
Abnormality of cranial vault shape	Cranial asymmetry
Abnormality of cranium shape	Cranial asymmetry
Abnormality of head shape	Cranial asymmetry
Asymmetry of cranium	Cranial asymmetry
Asymmetry of head	Cranial asymmetry
Cranial vault asymmetry	Cranial asymmetry
Malformation of cranial vault shape	Cranial asymmetry
Malformation of cranium shape	Cranial asymmetry
Malformation of head shape	Cranial asymmetry
Uneven head shape	Cranial asymmetry
Large dolichocephalic skull	Dolichocephaly
Long, narrow head	Dolichocephaly
Narrow cranium shape	Dolichocephaly
Narrow head shape	Dolichocephaly
Narrow skull shape	Dolichocephaly
Tall and narrow skull	Dolichocephaly
Turridolichocephaly	Dolichocephaly
Prominent back of the head	Prominent occiput
Prominent back of the skull	Prominent occiput
Prominent posterior cranium	Prominent occiput
Prominent posterior head	Prominent occiput
Prominent posterior skull	Prominent occiput
Protruding back of the head	Prominent occiput
Protruding occiput	Prominent occiput
Broad late closing cranial sutures	Delayed cranial suture closure
Delayed closure of fontanel	Delayed cranial suture closure
Delayed closure of fontanelles	Delayed cranial suture closure
Delayed closure of fontanels	Delayed cranial suture closure
Delayed closure of the fontanelles	Delayed cranial suture closure
Delayed cranial suture closure	Delayed cranial suture closure
Delayed fontanel closure	Delayed cranial suture closure
Delayed fontanelle closure	Delayed cranial suture closure
Late closing fontanelles	Delayed cranial suture closure
Late closure of fontanelle	Delayed cranial suture closure
Late-closing fontanelle	Delayed cranial suture closure
Open sutures	Delayed cranial suture closure
Abnormal face	Abnormality of the face
Abnormality of the countenance	Abnormality of the face
Abnormality of the face	Abnormality of the face
Abnormality of the physiognomy	Abnormality of the face
Abnormality of the visage	Abnormality of the face
Anomaly of face	Abnormality of the face
Anomaly of the face	Abnormality of the face
Disorder of face	Abnormality of the face
Disorder of the face	Abnormality of the face
Facial abnormality	Abnormality of the face
Facial anomaly	Abnormality of the face
Decreased size of malar bone	Malar flattening
Depressed malar region	Malar flattening
Flat cheekbone	Malar flattening
Hypotrophic malar bone	Malar flattening
Malar hypoplasia	Malar flattening
Underdevelopment of malar bone	Malar flattening
Zygomatic flattening	Malar flattening
Facial grimacing	Facial grimacing
Facial hypoplasia	Small face
Hypoplasia of face	Small face
Microface	Small face
Microfacies	Small face
Short and narrow face	Small face
Small face	Small face
Small facies	Small face
Decreased breadth of face	Narrow face
Decreased horizontal dimension of face	Narrow face
Decreased transverse dimension of face	Narrow face
Decreased width of face	Narrow face
Horizontal deficiency of face	Narrow face
Horizontal hypoplasia of face	Narrow face
Horizontal insufficiency of face	Narrow face
Narrow face	Narrow face
Narrow facies	Narrow face
Thin face	Narrow face
Thin facies	Narrow face
Transverse deficiency of face	Narrow face
Transverse hypoplasia of face	Narrow face
Transverse insufficiency of face	Narrow face
Elongation of face	Long face
Increased height of face	Long face
Increased length of face	Long face
Increased vertical dimension of face	Long face
Long face	Long face
Long facies	Long face
Vertical elongation of face	Long face
Vertical enlargement of face	Long face
Vertical excess of face	Long face
Vertical Facial Excess	Long face
Vertical hyperplasia of face	Long face
Vertical overgrowth of face	Long face
Abnormality of the lower jaw bone	Abnormality of the mandible
Abnormality of the mandible	Abnormality of the mandible
Anomaly of the mandible	Abnormality of the mandible
Deformity of the lower jaw bone	Abnormality of the mandible
Deformity of the mandible	Abnormality of the mandible
Malformation of the lower jaw bone	Abnormality of the mandible
Malformation of the mandible	Abnormality of the mandible
Receding chin	Retrognathia
Receding lower jaw	Retrognathia
Receding mandible	Retrognathia
Retrogenia	Retrognathia
