HPO name	Synonyms
Hypoplastic male external genitalia	Hypoplastic male genitalia, Small male external genitalia, Underdeveloped male genitalia
Perineal hypospadias	
Urethral atresia, male	
Macroorchidism	Large testicles, Large testis
Micropenis	Short penis, Small penis
Abnormality of female external genitalia	Abnormal female external genitalia
Abnormality of the clitoris	Abnormality of the clit
obsolete Clitoromegaly	
Abnormality of the labia	
Hypoplastic labia majora	Hypoplasia of labia majora, Small labia majora, Underdeveloped vaginal lips
Clitoral hypoplasia	Hypoplastic clitoris, Small clitoris, Underdeveloped clit
Ambiguous genitalia, female	Ambiguous genitalia due to virilization, Atypical appearance of female genitals
Ambiguous genitalia	Ambiguous external genitalia, Ambiguous external genitalia at birth, Intersex genitalia
Fused labia minora	Fused inner lips
Hypoplastic labia minora	Underdeveloped inner lips
Labial hypertrophy	Enlargement of the labia, Enlargement of the vaginal lips
Labial hypoplasia	Hypoplastic labia, Underdeveloped labia
Urethral atresia, female	
Urethral atresia	
Abnormality of the ureter	Abnormality of the ureters, Ureter issue, Ureteral anomalies
Ureterocele	
Ureteral stenosis	Narrowing of the ureter
Hydroureter	Megaureter, Swelling of ureter, Ureteral dilatation, Uroureter
Ureteral duplication	Double ureter
Ureteropelvic junction obstruction	Pelviureteric junction obstruction
Renal duplication	Extra kidney, Supernumerary kidney
Vesicoureteral reflux	Ureteral reflux, Ureteric reflux, Vesicoureteric reflux
Abnormality of the kidney	Abnormal kidney, Abnormality of the kidney, Renal anomalies, Renal anomaly
Abnormality of the genital system	Abnormality of the reproductive system, Genital abnormalities, Genital abnormality, Genital anomalies, Genital defects
Abnormality of the urinary system	Urinary tract abnormalities, Urinary tract abnormality, Urinary tract anomalies
Abnormality of reproductive system physiology	Abnormality of genital physiology, Abnormality of reproductive system physiology, Genital functional abnormality
Duplicated collecting system	Double collecting system, Double urinary collecting systems on intravenous pyelography, Duplex collecting system, Duplicated renal collecting system
Renal insufficiency	Renal failure, Renal failure in adulthood
Horseshoe kidney	Fused kidneys, Horseshoe kidney, Horseshoe kidneys
Ectopic kidney	Abnormal kidney location, Displaced kidney, Ectopic kidneys, Renal ectopia
Renal hypoplasia	Hypoplastic kidney, Hypoplastic kidneys, Small kidneys, Underdeveloped kidneys
Nephronophthisis	juvenile nephronophthisis
Abnormality of the renal tubule	
Tubular atrophy	Renal tubular cell atrophy
Proteinuria	High urine protein levels, Protein in urine
Abnormality of renal glomerulus morphology	
Glomerulosclerosis	Renal glomerular fibrosis
Focal segmental glomerulosclerosis	Focal and segmental glomerular sclerosis, Focal and segmental glomerulosclerosis, focal glomerulosclerosis
Tall stature	Accelerated linear growth, Increased body height, Increased linear growth, Tall stature
Glomerulonephritis	Glomerular nephritis
Nephrotic syndrome	Nephrosis
Polyuria	Increased urine output
Renal agenesis	Absent kidney, Missing kidney, Renal aplasia
Enlarged kidney	Enlarged kidney, Large kidney, Large kidneys, Nephromegaly, Renal enlargement
Renal cyst	Cystic kidney disease, Cystic kidneys, Kidney cyst, Renal cysts
Renal corticomedullary cysts	Corticomedullary renal cysts, Renal corticomedullary cystic disease
Renal dysplasia	Dysplastic kidneys, Renal adysplasia
Renal juxtaglomerular cell hypertrophy/hyperplasia	
Nephropathy	Kidney damage, Kidney disease
Polycystic kidney dysplasia	Enlarged polycystic kidneys, Polycystic kidney disease, Polycystic kidneys
Proximal tubulopathy	Proximal renal tubule defect, Proximal renal tubulopathy, Proximal tubular defect, Proximal tubule dysfunction, Selective proximal tubular damage
Renal phosphate wasting	Decreased renal tubular phosphate reabsorption, Decreased tubular maximum for phosphate reabsorption per glomerular filtration rate, Tubular phosphate reabsorption low
Phenotypic abnormality	Organ abnormality
Abnormality of the genitourinary system	Genitourinary abnormality, Genitourinary disease, Genitourinary dysplasia, Genitourinary tract anomalies, Genitourinary tract malformation, Urogenital abnormalities, Urogenital anomalies
Nephrocalcinosis	Increased calcium level in kidney, Too much calcium deposited in kidneys
Unilateral renal agenesis	Absent kidney on one side, Missing one kidney, Single kidney, Unilateral kidney agenesis
Nephritis	Kidney inflammation
Renal tubular dysfunction	Abnormal function of filtrating structures in kidney, Renal tubular defect, Renal tubular disease
Pelvic kidney	Sacral kidney
Hydronephrosis	
Renal salt wasting	Loss of salt in urine, Renal salt-wasting, Salt wasting, Salt-wasting
Renal potassium wasting	
Abnormality of the uterus	Abnormality of the uterus, Uterine abnormalities, Uterine malformations
Uterine leiomyoma	Benign uterine leiomyomas, Uterine fibroid
Menorrhagia	Abnormally heavy bleeding during menstruation, Hypermenorrhea
Gonadal dysgenesis	Mixed gonadal dysgenesis, Pure gonadal dysgenesis
Female hypogonadism	Hypogonadism, female
Hypogonadism	Decreased activity of gonads
Bifid uterus	
Abnormality of the ovary	Abnormality of the ovaries, Abnormality of the ovary, Ovarian disease
Ovarian cyst	Cystic abnormalities of the ovaries, Cystic ovaries, Ovarian cyst, Ovarian cystic abnormality
Uterine prolapse	Sagging uterus
Abnormality of the menstrual cycle	Abnormality of the menstrual cycle, Menstrual abnormalities
Amenorrhea	Abnormal absence of menstruation
Abnormal vagina morphology	Vaginal malformation
Rectovaginal fistula	Abnormal connection between rectum and vagina
Decreased fertility	Abnormal fertility, Decreased fertility
Transverse vaginal septum	Transverse vaginal membrane
Polycystic ovaries	Polycystic ovary, Polycystic ovary disease, Sclerocystic ovaries
Vaginal atresia	Abnormally closed or absent vagina
Ovarian gonadoblastoma	Gonadoblastoma, female
Gonadoblastoma	
Aplasia of the uterus	Absent uterus, uterus absent
Abnormality of head or neck	Abnormality of head or neck, Head and neck abnormality
Abnormality of the mouth	Abnormal mouth, Abnormality of the mouth
Wide mouth	Broad mouth, Large mouth, Large oral aperture, Macrostomia, Wide mouth
Oral ulcer	Mouth sore, Mouth ulcer
Abnormality of the tongue	Abnormal tongue, Abnormality of the tongue, Glossal abnormality, Lingual abnormality, Tongue abnormality
Macroglossia	Abnormally large tongue, Glossal hypertrophy, Hyperplasia of the tongue, Hypertrophy of the tongue, Increased size of tongue, Large tongue, Lingual hyperplasia, Lingual hypertrophy, Tongue hypertrophy
Abnormal lip morphology	Abnormal lip, Abnormality of the lip, Anomaly of lip, Deformity of lip, Lip abnormality, Malformation of lip
Narrow mouth	Microstomia, Narrow mouth, Small mouth, Small oral aperture
Median cleft lip	Central cleft upper lip, Midline cleft lip
Glossoptosis	Lingual retraction, Posterior displacement of the tongue, Retraction of the tongue
Abnormal oral cavity morphology	Abnormality of the oral cavity
Abnormality of the dentition	Abnormal dentition, Abnormal teeth, Abnormality of the teeth, Dental abnormalities, Dental abnormality, Dental anomalies, Dental problem, Dental problems, Tooth abnormalities
Severe periodontitis	Severe gum disease, Severe periodontal disease, Severe pyorrhea
Abnormality of the gingiva	Abnormality of the gums, Gingival abnormality
Gingival fibromatosis	Gingival fibroma, Gingival fibrous nodules, Hereditary gingival fibromatosis, Idiopathic gingival hyperplasia
Microglossia	Abnormally small tongue, Decreased size of tongue, Hypoglossia, Hypoplasia of the tongue, Hypoplastic tongue, Lingual hypoplasia, Rudimentary tongue, Small tongue, Underdevelopment of the tongue
Abnormality of the uvula	Abnormality of palatine uvula, Abnormality of the uvula
Abnormal palate morphology	Abnormality of the palate, Abnormality of the roof of the mouth, Palatal anomaly, Palate abnormality
Cleft palate	Cleft hard and soft palate, Cleft of hard and soft palate, Cleft of palate, Cleft palate, Cleft roof of mouth, Cleft secondary palate, Palatoschisis, Uranostaphyloschisis
Submucous cleft hard palate	Partial thickness cleft hard palate, Submucosal cleft palate, Submucous clefting
Abnormality of upper lip	Abnormality of upper lip, Anomaly of the upper lip, Deformity of the upper lip, Malformation of the upper lip
Abnormality of lower lip	Abnormality of lower lip, Anomaly of the lower lip, Deformity of the lower lip, Malformation of the lower lip
Thick lower lip vermilion	Full lower lip, Full lower lip vermilion, Increased height of lower lip vermilion, Increased volume of lower lip, Increased volume of lower lip vermilion, Plump lower lip, Prominent lower lip, Prominent lower lip vermilion, Thick lower lip, Thick red part of the lower lip, Thick vermilion border of lower lip
Lobulated tongue	Bumpy tongue, Lingual lobules, Lobulate tongue
Movement abnormality of the tongue	Abnormality of lingual movement, Movement abnormality of the tongue
Difficulty in tongue movements	Difficulty in lingual movements, Difficulty in tongue movements, Hypokinesia of the tongue, Lingual hypokinesia
Cleft soft palate	Cleft muscular palate, Cleft of soft palate, Cleft velum
Broad alveolar ridges	Broad alveolar margins, Broad alveolar processes of jaw, Wide alveolar margins, Wide alveolar processes of jaw, Wide gum ridges, Widened alveolar ridges
Short upper lip	Decreased height of upper lip, Decreased upper labial height, Decreased upper labial length, Decreased vertical length of upper lip, Short upper lip, Shortening of upper lip, Vertical deficiency of upper lip
Narrow palate	Decreased palatal width, Decreased transverse dimension of palate, Narrow palate, Narrow roof of mouth
Abnormal oral frenulum morphology	Abnormality of frenum of tongue, Abnormality of lingual frenum, Abnormality of oral frenula, Abnormality of oral frenum
Accessory oral frenulum	Accessory oral frenum, Extra oral frenulum, Extra oral frenum, Multiple oral frenula, Supernumerary oral frenulum, Supernumerary oral frenum
Bifid uvula	Bifid palatine uvula, Cleft uvula, Forked uvula, Split uvula, Uvula bifida
Open mouth	Gaped jawed appearance, Gaped mouthed appearance, Open mouth, Open mouth appearance, Slack jawed appearance
Lower lip pit	
Abnormal parotid gland morphology	Abnormality of parotid gland, Anomaly of the parotid gland
Absence of Stensen duct	Absence of parotid duct, Absent stensen duct, Agenesis of parotid duct, Agenesis of stensen duct, Failure of development of parotid duct, Failure of development of stensen duct, Missing parotid duct, Missing stensen duct
Tongue nodules	Lingual nodules
Short lingual frenulum	Deficiency of lingual frenulum, Hypoplasia of lingual frenulum, Hypoplasia of lingual frenum, Hypoplasia of tongue frenulum, Hypoplasia of tongue frenum, Short lingual frenum, Short tongue frenulum, Short tongue frenum, Tight lingual frenulum
Pierre-Robin sequence	Pierre Robin sequence, Pierre-robin anomaly, Pierre-robin deformity, Pierre-robin malformation, Robin sequence
Oral cleft	Cleft lip, cleft palate, Cleft lip/palate, Cleft of the mouth, Oral clefting
Cleft upper lip	Cheiloschisis of upper lip, Cleft of upper lip, Cleft upper lip, Harelip
Pursed lips	Pursed lips, Tightly closed lips
Glossitis	Inflammation of the tongue, Lingual inflammation, Smooth swollen tongue
Triangular mouth	Triangular mouth, Triangular shaped mouth, Triangular shaped oral aperture
Trismus	Decrease in jaw mobility, Decrease in jaw movement, Decrease in jaw opening, Decrease in mandibular mobility, Decrease in mandibular movement, Decrease in mandibular opening, Limited jaw mobility, Limited jaw movement, Limited jaw opening, Limited mandibular mobility, Limited mandibular opening, Limited mouth opening, Lockjaw, Pain of muscles of mastication
Gingival overgrowth	Gingival enlargement, Gingival hyperplasia, Gum enlargement, Gum hypertrophy, Hypertrophic gingivitis, Oral soft tissue hyperplasia
Lip telangiectasia	Angioectasias of the lip, Labial angioectasias, Labial telangiectasia, Lip telangiectases, Spider veins of the lip, Telangiectasia of the lips
Thick upper lip vermilion	Full upper lip, Full upper lip vermilion, Increased height of upper lip vermilion, Increased volume of upper lip, Increased volume of upper lip vermilion, Plump upper lip, Prominent upper lip, Prominent upper lip vermilion, Thick red part of the upper lip, Thick upper lip, Thick vermilion border of upper lip
Broad secondary alveolar ridge	Secondary alveolar ridges
Xerostomia	Decreased salivary flow, Dry mouth, Dry mouth syndrome, Reduced salivation
High palate	Elevated palate, High palate, High, arched palate, High-arched palate, Increased palatal height
Thin upper lip vermilion	Decreased height of upper lip vermilion, Decreased volume of upper lip, Decreased volume of upper lip vermilion, Thin red part of the upper lip, Thin upper lip, Thin upper lips, Thin vermilion border of upper lip
Velopharyngeal insufficiency	Velopharyngeal dysfunction, Velopharyngeal incompetence
Furrowed tongue	Fissured tongue, Grooved tongue, Lingual furrow, Lingue plicata, Plicated tongue, Prominent tongue grooves, Scrotal tongue
Gingival hyperkeratosis	Hyperkeratosis, gingival
Abnormality of taste sensation	Abnormality of taste sensation
Decreased taste sensation	Decreased taste, Decreased taste sensation, Lost taste
Gingival bleeding	Bleeding gums, Gingival hemorrhage, Gingivorrhagia
Tongue telangiectasia	Angioectasias of the tongue, Lingual angioectasias, Lingual telangiectasia, Spider veins of the tongue
Oral cavity telangiectasia	Angioectasias of the mouth, Angioectasias of the oral cavity, Oral cavity teleangiectasia, Spider veins of the mouth, Spider veins of the oral cavity
Gingivitis	Gingival inflammation, Inflamed gums, Red and swollen gums
Everted lower lip vermilion	Drooping lower lip, Eclabium of lower lip, Everted lower lip, Everted prominent lower lip, Outward turned lower lip, Protruding lower lip
Thin vermilion border	Decreased volume of lip, Decreased volume of lip vermillion, Thin lips, Thin vermilion borders, Thin vermillion
Abnormality of the head	Abnormal head, Abnormality of the head, Head abnormality
Abnormality of the fontanelles or cranial sutures	
Abnormality of the anterior fontanelle	Abnormality of the forehead soft spot
Small anterior fontanelle	Small anterior fontanel, Small forehead fontanel
Hydrocephalus	Hydrocephaly, Nonsyndromal hydrocephalus, Too much cerebrospinal fluid in the brain
Large fontanelles	Enlarged fontanelles, Large bregma sutures, Large fontanel, Large fontanelle, Large fontanels, Large, late-closing fontanelle, Persistent wide fontanel, Wide bregma sutures, Wide fontanelles
Abnormality of skull size	Abnormality of cranium size, Abnormality of head size, Abnormality of skull size
Parietal bossing	Biparietal bossing, Bossing of parietal bone
Trigonocephaly	Triangular cranium shape, Triangular head shape, Triangular skull shape, Wedge shaped cranium, Wedge shaped head, Wedge shaped skull
Brachyturricephaly	Brachy-turricephaly, High, prominent forehead, Turribrachycephaly
Abnormality of the paranasal sinuses	Abnormality of the sinuses, Abnormality of the sinuses of the head
Sinusitis	Sinus disease, Sinus infection, Sinus inflammation
Brachycephaly	Broad cranium shape, Broad head shape, Broad skull shape, Short and broad skull, Wide cranium shape, Wide head shape, Wide skull shape
Dense calvaria	Dense skull cap
Microcephaly	Abnormally small cranium, Abnormally small head, Abnormally small skull, Decreased circumference of cranium, Decreased size of cranium, Decreased size of head, Decreased size of skull, Reduced head circumference, small calvarium, small cranium, Small head, Small head circumference, Small skull
Progressive microcephaly	Microcephaly, postnatal, progressive, Microcephaly, progressive, Progressively abnormally small cranium, Progressively abnormally small skull
Acute sinusitis	
Macrocephaly	Big calvaria, Big cranium, Big head, Big skull, Increased size of cranium, Increased size of head, Increased size of skull, Large calvaria, Large cranium, Large head, Large head circumference, Large skull, Macrocrania, Megacephaly
Wide anterior fontanel	Large anterior fontanel, Large anterior fontanelle, Large anterior fontanels, Large open anterior fontanel, Large open anterior fontanelle, Wide anterior fontanelle, Wide open anterior fontanelle, Wider-than-typical soft spot of skull
Turricephaly	Tall shaped cranium, Tall shaped head, Tall shaped skull, Tower cranium shape, Tower skull shape
Oxycephaly	Acrocephaly
Abnormality of the mastoid	Abnormality of mastoid process of temporal bone
Mastoiditis	
Cranial asymmetry	Abnormality of cranial vault shape, Abnormality of cranium shape, Abnormality of head shape, Asymmetry of cranium, Asymmetry of head, Cranial vault asymmetry, Malformation of cranial vault shape, Malformation of cranium shape, Malformation of head shape, Uneven head shape
Dolichocephaly	Large dolichocephalic skull, Long, narrow head, Narrow cranium shape, Narrow head shape, Narrow skull shape, Tall and narrow skull, Turridolichocephaly
Prominent occiput	Prominent back of the head, Prominent back of the skull, Prominent posterior cranium, Prominent posterior head, Prominent posterior skull, Protruding back of the head, Protruding occiput
Delayed cranial suture closure	Broad late closing cranial sutures, Delayed closure of fontanel, Delayed closure of fontanelles, Delayed closure of fontanels, Delayed closure of the fontanelles, Delayed cranial suture closure, Delayed fontanel closure, Delayed fontanelle closure, Late closing fontanelles, Late closure of fontanelle, Late-closing fontanelle, Open sutures
Abnormality of the face	Abnormal face, Abnormality of the countenance, Abnormality of the face, Abnormality of the physiognomy, Abnormality of the visage, Anomaly of face, Anomaly of the face, Disorder of face, Disorder of the face, Facial abnormality, Facial anomaly
Malar flattening	Decreased size of malar bone, Depressed malar region, Flat cheekbone, Hypotrophic malar bone, Malar hypoplasia, Underdevelopment of malar bone, Zygomatic flattening
Facial grimacing	Facial grimacing
Small face	Facial hypoplasia, Hypoplasia of face, Microface, Microfacies, Short and narrow face, Small face, Small facies
Narrow face	Decreased breadth of face, Decreased horizontal dimension of face, Decreased transverse dimension of face, Decreased width of face, Horizontal deficiency of face, Horizontal hypoplasia of face, Horizontal insufficiency of face, Narrow face, Narrow facies, Thin face, Thin facies, Transverse deficiency of face, Transverse hypoplasia of face, Transverse insufficiency of face
Long face	Elongation of face, Increased height of face, Increased length of face, Increased vertical dimension of face, Long face, Long facies, Vertical elongation of face, Vertical enlargement of face, Vertical excess of face, Vertical Facial Excess, Vertical hyperplasia of face, Vertical overgrowth of face
Abnormality of the mandible	Abnormality of the lower jaw bone, Abnormality of the mandible, Anomaly of the mandible, Deformity of the lower jaw bone, Deformity of the mandible, Malformation of the lower jaw bone, Malformation of the mandible
Retrognathia	Receding chin, Receding lower jaw, Receding mandible, Retrogenia, Retrognathia of lower jaw, Weak chin, Weak jaw
Coarse facial features	Coarse face, Coarse facial appearance, Coarse facial features, Coarse facies, Rounded and heavy facial features, Thickened facial skin with coarse facial features
Facial edema	Facial puffiness, Facial swelling
Broad face	Broad face, Broad facies, Horizontal excess of face, Horizontal hyperplasia of face, Increased breadth of face, Increased horizontal dimension of face, Increased transverse dimension of face, Increased width of face, Transverse excess of face, Transverse hyperplasia of face, Wide face, Wide facies
obsolete Abnormality of the ocular region	
Epicanthus	Epicanthal fold, Epicanthal folds, Epicanthic folds, Eye folds, Palpebronasal fold, Plica palpebronasalis, Prominent eye folds
Increased facial adipose tissue	Facial fat hyperplasia, Facial fat hypertrophy, Hyperplasia of facial adipose tissue, Hypertrophy of facial adipose tissue, Increased amount of facial adipose tissue, Increased amount of facial fat, Increased volume of facial adipose tissue
Abnormality of the philtrum	Abnormal philtrum, Abnormality of the infranasal depression, Abnormality of the paralabial region
Broad philtrum	Increased breadth of philtrum, Increased horizontal dimension of philtrum, Increased transverse dimension of philtrum, Increased width of philtrum, Wide philtrum
Abnormality of the forehead	Abnormality of the forehead, Abnormality of the frontal region of the face, Anomaly of the forehead, Deformity of the forehead, Malformation of the forehead
Abnormality of facial adipose tissue	Abnormality of facial fat, Deformity of facial adipose tissue, Malformation of facial adipose tissue
Loss of facial adipose tissue	Decreased amount of facial adipose tissue, Decreased amount of facial fat, Decreased volume of facial adipose tissue, Loss of facial fat, Loss of facial subcutaneous adipose tissue, Loss of subcutaneous adipose tissue from face
Full cheeks	Apple cheeks, Big cheeks, Chubby cheeks, Full cheeks, Hyperplasia of cheeks, Hypertrophy of cheeks, Increased size of cheeks, Large cheeks, Puffy cheeks
Low anterior hairline	Low frontal hairline, Low-set frontal hairline
Doll-like facies	Doll-like facial appearance
Facial hypotonia	Atony of facial musculature, Decreased facial muscle tone, Hypotonic facies, Low facial muscle tone, Reduced facial muscle tone
Mask-like facies	Amimia, Expressionless face, Lack of facial expression, Mask-like facial appearance, Masklike facies
Oval face	Oval face, Oval facial shape, Oval facies
Abnormality of facial musculature	Abnormality of facial muscles, Facial muscle issue
Mandibular prognathia	Big lower jaw, Big mandible, Enlarged mandible, Enlargement of mandible, Hyperplasia of lower jaw, Hypertrophy of lower jaw, Hypertrophy of mandible, Increased projection of lower jaw, Increased projection of mandible, Increased size of lower jaw, Increased size of mandible, Large lower jaw, Large mandible, Lower jaw excess, Lower jaw hyperplasia, Macromandible, Mandible prognathism, Mandibular excess, Mandibular hyperplasia, Mandibular macrognathia, Mandibular prognathism, Prognathia, Prognathism, Prominent chin, Prominent jaw, Prominent lower jaw, Prominent mandible, Relative mandibular prognathism
Abnormality of the chin	Abnormality of the chin, Abnormality of the menton, Anomaly of the chin, Deformity of the chin, Malformation of the chin
Pointed chin	Pointed chin, Pointed mention region, Pointy chin, Small pointed chin, Witch's chin
Microretrognathia	Retromicrognathia, Small retruded chin
Abnormality of the midface	Abnormality of the midface, Anomaly of the midface, Deformity of the midface, Malformation of the midface
Round face	Circular face, Round face, Round facial appearance, Round facial shape, Round facies, Round, full face
Abnormality of the orbital region	Abnormality of the eye region, Abnormality of the region around the eyes, Anomaly of the orbital region of the face, Deformity of the orbital region of the face, Malformation of the orbital region of the face
Hypertelorism	Excessive orbital separation, Increased distance between eye sockets, Increased distance between eyes, Increased interpupillary distance, Ocular hypertelorism, Wide-set eyes, Widely spaced eyes, Widened interpupillary distance
Facial myokymia	Involuntary facial contraction, Involuntary facial quivering
Smooth philtrum	Decreased depth of philtrum, Flat philtrum, Indistinct philtrum, Philtrum, smooth, Shallow philtrum, Simple philtrum
Bird-like facies	Bird-like facial appearance
Square face	Square face, Square facial shape, Square facies
Short philtrum	Decreased height of philtrum, Decreased length of philtrum, Decreased vertical dimension of philtrum, Vertical hypoplasia of philtrum
Facial asymmetry	Asymmetric facies, Asymmetry of face, Asymmetry of right and left side of face, Crooked face, Facial asymmetry, Unbalanced face, Unequal sides of face, Uneven face, Uneven sides of face, Unsymmetrical face
Triangular face	Face with broad temples and narrow chin, Triangular face, Triangular facial shape, Triangular facies
Abnormality of the maxilla	Abnormality of the upper jaw bone, Abnormality of the upper jaw bones, Anomaly of the maxilla, Deformity of the maxilla, Deformity of the upper jaw bones, Malformation of the maxilla, Malformation of the upper jaw bones
Hypoplasia of the maxilla	Decreased projection of maxilla, Decreased projection of upper jaw, Decreased size of maxilla, Decreased size of upper jaw, Deficiency of upper jaw bones, Hypoplasia of upper jaw bones, Hypoplastic maxillary bones, Hypotrophic maxilla, Hypotrophic upper jaw bones, Maxillary deficiency, Maxillary hypoplasia, Maxillary micrognathia, Maxillary retrognathia, Maxillary retrusion, Micromaxilla, Retrognathia of upper jaw, Retrusion of upper jaw bones, Small maxilla, Small upper jaw, Small upper jaw bones, Upper jaw deficiency, Upper jaw retrusion
Facial hemangioma	Facial hemangiomata
Short chin	Decreased height of chin, Short chin, Short lower third of face, Small chin, Vertical deficiency of chin, Vertical hypoplasia of chin
Prominent supraorbital ridges	Hyperplasia of supraorbital margins, Hyperplasia of supraorbital ridge, Hypertrophy of supraorbital margins, Hypertrophy of supraorbital ridge, Prominent brow, Prominent supraorbital margins, Prominent supraorbital ridge, Protruding supraorbital ridge, Supraorbital hyperostosis
Broad forehead	Bitemporal widening, Broad forehead, Increased bitemporal dimension, Increased bitemporal width, Increased width of the forehead, Intertemporal widening, Wide forehead
Hypomimic face	Decreased facial expressions, Decreased facial muscle movement, Dull facial expression, Hypomimia
Pugilistic facies	Boxer-like facial appearance, Pugilistic facial appearance
Sloping forehead	Inclined forehead, Posteriorly sloping forehead, Receding forehead, Sloping forehead
Narrow forehead	Bitemporal narrowing, Bitemporal narrowness, Bitemporal skull narrowing, Decreased width of the forehead, Intertemporal narrowing, Narrow bitemporal diameter, Narrow bitemporal width, Narrow forehead, Temporal narrowness
Long philtrum	Elongated philtrum, Increased height of philtrum, Increased length of philtrum, Increased vertical dimension of philtrum, Vertical hyperplasia of philtrum
Whistling appearance	Whistling appearance, Whistling facial appearance
Micrognathia	Decreased projection of lower jaw, Decreased projection of mandible, Decreased size of lower jaw, Decreased size of mandible, Deficiency of lower jaw, Hypoplasia of lower jaw, Hypoplasia of mandible, Hypoplastic mandible, Hypoplastic mandible condyle, Hypotrophic lower jaw, Hypotrophic mandible, Little lower jaw, Little mandible, Lower jaw deficiency, Lower jaw hypoplasia, Lower jaw retrognathia, Lower jaw retrusion, Mandibular deficiency, Mandibular hypoplasia, Mandibular micrognathia, Mandibular retrognathia, Mandibular retrusion, Micrognathia of lower jaw, Micromandible, Retrusion of lower jaw, Robin mandible, Severe hypoplasia of mandible, Small jaw, Small lower jaw, Small mandible, Underdevelopment of lower jaw, Underdevelopment of mandible
High forehead	High forehead, Tall forehead
Widow's peak	Hairline peak, Hairline point, V-shaped frontal hairline, Widow's peak
Small forehead	Decreased size of forehead, Decreased size of frontal region of face, Hypoplasia of forehead, Hypotrophic forehead, Small forehead
Abnormality of the outer ear	Abnormal pinnae, Abnormality of the auricle, Abnormality of the external ear, Abnormality of the outer ear, Ear anomalies, External ear malformations, Malformed pinnae, Outer ear abnormality
Abnormal location of ears	Abnormal location of ears, External ear position defect
Posteriorly rotated ears	Ear, posterior angulation, increased, Ears rotated toward back of head, Posteriorly angulated ears, Posteriorly rotated, Posteriorly rotated auricles, Posteriorly-angulated ears, Posteriorly-rotated ears
Abnormality of the inner ear	Abnormality of the inner ear, Inner ear abnormality
Tinnitus	Ringing in ears, Ringing in the ears
obsolete Pulsatile tinnitus (tympanic paraganglioma)	
Otosclerosis	
Abnormality of earlobe	Abnormal earlobe, Abnormal lobe of ear, Abnormality of auricular lobule, Abnormality of ear lobe, Abnormality of earlobe, Abnormality of lobulus auriculae
Hearing abnormality	Abnormal hearing, Hearing abnormality
Hearing impairment	Congenital deafness, Congenital hearing loss, Deafness, Hearing defect, Hearing impairment, Hearing loss, Hypoacusis
Abnormality of the nose	Abnormality of the nose, Anomaly of the nose, Deformity of the nose, Malformation of the nose, Nasal abnormality, Nasal anomaly, Nasal deformity, Nasal malformation
Low-set, posteriorly rotated ears	Low-set posteriorly rotated ears
Low-set ears	Low set ears, Low-set ears, Lowset ears, Melotia
Abnormality of the middle ear	Middle ear abnormalities, Middle ear abnormality
Acute otitis media	Acute middle ear infection
Abnormality of the auditory canal	Auditory canal abnormality
Abnormal cochlea morphology	Abnormality of cochlea
Incomplete partition of the cochlea type II	Mondini malformation
Abnormality of the pinna	Abnormal form of ears, Abnormally shaped ears, Auricular malformation, Deformed auricles, Deformed ears, Dysplastic ears, Malformation of auricle, Malformed auricles, Malformed ears, Malformed external ears, Minor malformation of the auricles, Poorly defined conchae, Simple ears
