PMID	Text
12238024	[Genetic study of 20 patients with autism disorders].          Many observations indicate that genetic factors play an important role in the aetiology of autism. Up to now, however, no genetic markers have been convincingly identified which influence the predisposition to this disorder. Complex genetic analysis of autistic patients and their families may therefore lead to the identification of features which could help to direct further search for the predisposing genes.          
21617890	FMR1 premutation and full mutation molecular mechanisms related to autism.          Fragile X syndrome (FXS) is caused by an expanded CGG repeat (>200 repeats) in the 5' un-translated portion of the fragile X mental retardation 1 gene (FMR1) leading to a deficiency or absence of the FMR1 protein (FMRP). FMRP is an RNA-binding protein that regulates the translation of a number of other genes that are important for synaptic development and plasticity. Furthermore, many of these genes, when mutated, have been linked to autism in the general population, which may explain the high comorbidity that exists between FXS and autism spectrum disorders (ASD). Additionally, premutation repeat expansions (55 to 200 CGG repeats) may also give rise to ASD through a different molecular mechanism that involves a direct toxic effect of FMR1 mRNA. It is believed that RNA toxicity underlies much of the premutation-related involvement, including developmental concerns like autism, as well as neurodegenerative issues with aging such as the fragile X-associated tremor ataxia syndrome (FXTAS). RNA toxicity can also lead to mitochondrial dysfunction, which is common in older premutation carriers both with and without FXTAS. Many of the problems with cellular dysregulation in both premutation and full mutation neurons also parallel the cellular abnormalities that have been documented in idiopathic autism. Research regarding dysregulation of neurotransmitter systems caused by the lack of FMRP in FXS, including metabotropic glutamate receptor 1/5 (mGluR1/5) pathway and GABA pathways, has led to new targeted treatments for FXS. Preliminary evidence suggests that these new targeted treatments will also be beneficial in non-fragile X forms of autism.        
21648356	Fragile X-premutation tremor/ataxia syndrome (FXTAS) in a young woman: clinical, genetics, MRI and 1H-MR spectroscopy correlates.          It is generally thought that fragile X-associated tremor/ataxia syndrome (FXTAS) represents a late-onset neurodegenerative disorder occuring in male carriers of a premutation expansion (55-200 CGG repeats) in the fragile X mental retardation 1 (FMR 1) gene. However, several female patients with FXTAS have also been reported recently. Here, we describe a 23-year old woman with positive family history of mental retardation and autism who presented clinically with action tremor, ataxia, emotional disturbances and cognitive dysfunction. Magnetic resonance imaging (MRI) of the brain showed diffuse cortical atrophy, while 1H-MR spectroscopy (MRS) revealed decreased levels of N-acetylaspartate (NAA) in the cerebellum, basal ganglia, and pons. Genetic testing confirmed heterozygous FMR 1 gene premutation of 100 CGG repeats in the abnormal allele and 29 CGG repeats in the normal allele. We concluded that FXTAS may be an under-recognized disorder, particularly in women.        
19016890	Social approach in genetically engineered mouse lines relevant to autism.          Profound impairment in social interaction is a core symptom of autism, a severe neurodevelopmental disorder. Deficits can include a lack of interest in social contact and low levels of approach and proximity to other children. In this study, a three-chambered choice task was used to evaluate sociability and social novelty preference in five lines of mice with mutations in genes implicated in autism spectrum disorders. Fmr1(tm1Cgr/Y)(Fmr1(-/y)) mice represent a model for fragile X, a mental retardation syndrome that is partially comorbid with autism. We tested Fmr1(-/y)mice on two genetic backgrounds, C57BL/6J and FVB/N-129/OlaHsd (FVB/129). Targeted disruption of Fmr1 resulted in low sociability on one measure, but only when the mutation was expressed on FVB/129. Autism has been associated with altered serotonin levels and polymorphisms in SLC6A4 (SERT), the serotonin transporter gene. Male mice with targeted disruption of Slc6a4 displayed significantly less sociability than wild-type controls. Mice with conditional overexpression of Igf-1 (insulin-like growth factor-1) offered a model for brain overgrowth associated with autism. Igf-1 transgenic mice engaged in levels of social approach similar to wild-type controls. Targeted disruption in other genes of interest, En2 (engrailed-2) and Dhcr7, was carried on genetic backgrounds that showed low levels of exploration in the choice task, precluding meaningful interpretations of social behavior scores. Overall, results show that loss of Fmr1 or Slc6a4 gene function can lead to deficits in sociability. Findings from the fragile X model suggest that the FVB/129 background confers enhanced susceptibility to consequences of Fmr1 mutation on social approach.        
29771335	Loss of fragile X protein FMRP impairs homeostatic synaptic downscaling through tumor suppressor p53 and ubiquitin E3 ligase Nedd4-2.          Synaptic scaling allows neurons to homeostatically readjust synaptic strength upon chronic neural activity perturbations. Although altered synaptic scaling has been implicated to underlie imbalanced brain excitability in neurological disorders such as autism spectrum disorders and epilepsy, the molecular dysregulation and restoration of synaptic scaling in those diseases have not been demonstrated. Here, we showed that the homeostatic synaptic downscaling is absent in the hippocampal neurons of Fmr1 KO mice, the mouse model of the most common inherited autism, fragile X syndrome (FXS). We found that the impaired homeostatic synaptic downscaling in Fmr1 KO neurons is caused by loss-of-function dephosphorylation of an epilepsy-associated ubiquitin E3 ligase, neural precursor cell expressed developmentally down-regulated gene 4-2, Nedd4-2. Such dephosphorylation of Nedd4-2 is surprisingly caused by abnormally stable tumor suppressor p53 and subsequently destabilized kinase Akt. Dephosphorylated Nedd4-2 fails to elicit 14-3-3-dependent ubiquitination and down-regulation of the GluA1 subunit of AMPA receptor, and therefore impairs synaptic downscaling. Most importantly, using a pharmacological inhibitor of p53, Nedd4-2 phosphorylation, GluA1 ubiquitination and synaptic downscaling are all restored in Fmr1 KO neurons. Together, our results discover a novel cellular mechanism underlying synaptic downscaling, and demonstrate the dysregulation and successful restoration of this mechanism in the FXS mouse model.        
29775702	Abnormal Sleep Architecture and Hippocampal Circuit Dysfunction in a Mouse Model of Fragile X Syndrome.         Fmr1 knockout mouse, Fragile X syndrome, Gamma, hippocampal CA1 pyramidal cell, sharp-wave ripple, sleep architecture Fragile X syndrome (FXS) is the most common heritable cause of intellectual disability and single-gene cause of autism spectrum disorder. The Fmr1 null mouse models much of the human disease including hyperarousal, sensory hypersensitivity, seizure activity, and hippocampus-dependent cognitive impairment. Sleep architecture is disorganized in FXS patients, but has not been examined in Fmr1 knockout (Fmr1-KO) mice. Hippocampal neural activity during sleep, which is implicated in memory processing, also remains uninvestigated in Fmr1-KO mice. We performed in vivo electrophysiological studies of freely behaving Fmr1-KO mice to assess neural activity, in the form of single-unit spiking and local field potential (LFP), within the hippocampal CA1 region during multiple differentiated sleep and wake states. Here, we demonstrate that Fmr1-KO mice exhibited a deficit in rapid eye movement sleep (REM) due to a reduction in the frequency of bouts of REM, consistent with sleep architecture abnormalities of FXS patients. Fmr1-KO CA1 pyramidal cells (CA1-PCs) were hyperactive in all sleep and wake states. Increased low gamma power in CA1 suggests that this hyperactivity was related to increased input to CA1 from CA3. By contrast, slower sharp-wave ripple events (SWRs) in Fmr1-KO mice exhibited longer event duration, slower oscillation frequency, with reduced CA1-PC firing rates during SWRs, yet the incidence rate of SWRs remained intact. These results suggest abnormal neuronal activity in the Fmr1-KO mouse during SWRs, and hyperactivity during other wake and sleep states, with likely adverse consequences for memory processes.          
28504725	Metformin ameliorates core deficits in a mouse model of fragile X syndrome.          Fragile X syndrome (FXS) is the leading monogenic cause of autism spectrum disorders (ASD). Trinucleotide repeat expansions in FMR1 abolish FMRP expression, leading to hyperactivation of ERK and mTOR signaling upstream of mRNA translation. Here we show that metformin, the most widely used drug for type 2 diabetes, rescues core phenotypes in Fmr1        -/y mice and selectively normalizes ERK signaling, eIF4E phosphorylation and the expression of MMP-9. Thus, metformin is a potential FXS therapeutic.
27186135	Progress toward therapeutic potential for AFQ056 in Fragile X syndrome.         AFQ056, FMR1, Fmr1 knockout mouse, Fragile X mental retardation protein, Fragile X syndrome, group 1 metabotropic glutamate receptor 5 antagonist Fragile X syndrome (FXS) is the most common form of inherited intellectual disability and the leading single-gene cause of autism. It is caused by the lack of production of the Fragile X mental retardation protein (FMRP), resulting in cognitive deficits, hyperactivity, and autistic behaviors. Breakthrough advances in potential therapy for FXS followed the discovery that aberrant group 1 metabotropic glutamate receptor (mGluR) signaling is an important constituent of the pathophysiology of the syndrome. Research has indicated that upon neuronal stimulation, FMRP acts downstream of group 1 mGluRs (mGluRs1/5) to inhibit protein synthesis, long-term depression, and α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor internalization. To offset the deficits caused by the lack of FMRP, many pharmaceutical companies have designed medicinal drugs to target the unrestrained stimulation of mGluR5 signaling in FXS. Indeed, promising results from animal and clinical studies suggest that mGluR5 antagonists such as AFQ056 can successfully correct many of the deficits in FXS. In this review, we cover the animal studies performed to date that test the role of AFQ056 as a selective mGluR5 antagonist to alleviate the phenotypes of FXS.         
22817866	Activation of 5-HT7 serotonin receptors reverses metabotropic glutamate receptor-mediated synaptic plasticity in wild-type and Fmr1 knockout mice, a model of Fragile X syndrome.          Fragile X syndrome (FXS) is a genetic cause of intellectual disability and autism. Fmr1 knockout (Fmr1 KO) mice, an animal model of FXS, exhibit spatial memory impairment and synapse malfunctioning in the hippocampus, with abnormal enhancement of long-term depression mediated by metabotropic glutamate receptors (mGluR-LTD). The neurotransmitter serotonin (5-HT) modulates hippocampal-dependent learning through serotonin 1A (5-HT1A) and serotonin 7 (5-HT7) receptors; the underlying mechanisms are unknown.          
22842191	15q11.2 microdeletion and FMR1 premutation in a family with intellectual disabilities and autism.          Genomic rearrangements of chromosome 15q11-q13 are responsible for diverse phenotypes including intellectual disabilities and autism. 15q11.2 deletion, implicating common PWS/AS breakpoints BP1-BP2, has been described in patients with delayed motor and speech development and behavioural problems. Here we report the clinical and molecular characterisation of a maternally inherited BP1-BP2 deletion in two siblings with intellectual, motor and speech delay, autistic syndrome disorder and several dysmorphic features. One of the patients was also a carrier of an FMR1 allele in the low premutation range. The four genes within the deletion were under-expressed in all deletion carriers but FMR1 mRNA levels remained normal. Our results suggest that BP1-BP2 deletion could be considered as a risk factor for neuropsychological phenotypes and that it presents with variable clinical expressivity.          
18829439	Quantitative proteomic analysis of primary neurons reveals diverse changes in synaptic protein content in fmr1 knockout mice.          Fragile X syndrome (FXS) is a common inherited form of mental retardation that is caused, in the vast majority of cases, by the transcriptional silencing of a single gene, fmr1. The encoded protein, FMRP, regulates mRNA translation in neuronal dendrites, and it is thought that changes in translation-dependent forms of synaptic plasticity lead to many symptoms of FXS. However, little is known about the potentially extensive changes in synaptic protein content that accompany loss of FMRP. Here, we describe the development of a high-throughput quantitative proteomic method to identify differences in synaptic protein expression between wild-type and fmr1-/- mouse cortical neurons. The method is based on stable isotope labeling by amino acids in cell culture (SILAC), which has been used to characterize differentially expressed proteins in dividing cells, but not in terminally differentiated cells because of reduced labeling efficiency. To address the issue of incomplete labeling, we developed a mathematical method to normalize protein ratios relative to a reference based on the labeling efficiency. Using this approach, in conjunction with multidimensional protein identification technology (MudPIT), we identified >100 proteins that are up- or down-regulated. These proteins fall into a variety of functional categories, including those regulating synaptic structure, neurotransmission, dendritic mRNA transport, and several proteins implicated in epilepsy and autism, two endophenotypes of FXS. These studies provide insights into the potential origins of synaptic abnormalities in FXS and a demonstration of a methodology that can be used to explore neuronal protein changes in neurological disorders.        
30523064	Dendritic spines in early postnatal Fragile X mice are insensitive to novel sensory experience.          Autism spectrum disorders (ASD) are often associated with atypical sensory processing and sensory hypersensitivity, which can lead to maladaptive behaviors, such as tactile defensiveness. Such altered sensory perception in ASD could arise from disruptions in experience-dependent maturation of circuits during early brain development. Here, we tested the hypothesis that synaptic structures of primary somatosensory cortex (S1) neurons in Fragile X syndrome (FXS), which is a common inherited cause of autism, are not modulated by novel sensory information during development. We used chronic           in vivo two-photon microscopy to image dendritic spines and axon 'en passant' boutons (EPB) of layer 2/3 pyramidal neurons in S1 of male and female wild type (WT) and Fmr1 knockout (KO) mice, a model of FXS. We found that a brief (overnight) exposure to dramatically enhanced sensory inputs in the second postnatal week led to a significant increase in spine density in WT mice, but not in Fmr1 KO mice. In contrast, axon EPB dynamics were impervious to this novel sensory experience in mice of both genotypes. We surmise that the inability of Fmr1 KO mice to modulate post-synaptic dynamics in response to increased sensory input, at a time when sensory information processing first comes online in S1 cortex, could play a role in altered sensory processing in FXS.SIGNIFICANCE STATEMENTVery few longitudinal in vivo imaging studies have investigated synaptic structure and dynamics in early postnatal mice. Moreover, those studies tend to focus on the effects of sensory input deprivation, a process that rarely occurs during normal brain development. Early postnatal imaging experiments are critical because a variety of neurodevelopmental disorders, including those characterized by autism, could result from alterations in how circuits are shaped by incoming sensory inputs during critical periods of development. In this study, we focused on a mouse model of Fragile X syndrome and demonstrate how dendritic spines are insensitive to a brief period of novel sensory experience.
22265702	Minocycline treatment reverses ultrasonic vocalization production deficit in a mouse model of Fragile X Syndrome.          Fragile X Syndrome (FXS) is the most common inherited form of intellectual disability, with behaviors characteristic of autism. Symptoms include abnormal social behavior, repetitive behavior, communication disorders, and seizures. Many symptoms of FXS have been replicated in the Fmr1 knockout (KO) mice. Whether Fmr1 KO mice exhibit vocal communication deficits is not known. By recording ultrasonic vocalizations (USV) produced by adult male mice during mating, we show that USV calling rate (number of calls/second) is reduced in Fmr1 KO mice compared to WT controls. The WT control and Fmr1 KO groups did not differ in other aspects of mating behavior such as time spent sniffing, mounting, rooting and without contact. Acoustic properties of calls such as mean frequency (in kHz), duration and dynamic range of frequencies were not different. This indicates a specific deficit in USV calling rate in Fmr1 KO mice. Previous studies have shown that treatment of Fmr1 KO mice with minocycline for 4weeks from birth can alleviate some behavioral symptoms. Here we tested if minocycline also reversed vocalization deficits in these mice. Calling rate increased and was similar to WT controls in adult Fmr1 KO mice treated with minocycline for four weeks from birth (P0-P28). All acoustic properties measured were similar in treated and untreated WT control mice indicating minocycline effects were specific to vocalizations in the Fmr1 KO mice. These data suggest that mating-related USVs are robust and relevant biomarkers of FXS, and that minocycline treatment is a promising avenue for treatment of FXS symptoms.          
22267161	Disrupted Homer scaffolds mediate abnormal mGluR5 function in a mouse model of fragile X syndrome.          Enhanced metabotropic glutamate receptor subunit 5 (mGluR5) function is causally associated with the pathophysiology of fragile X syndrome, a leading inherited cause of intellectual disability and autism. Here we provide evidence that altered mGluR5-Homer scaffolds contribute to mGluR5 dysfunction and phenotypes in the fragile X syndrome mouse model, Fmr1 knockout (Fmr1(-/y)). In Fmr1(-/y) mice, mGluR5 was less associated with long Homer isoforms but more associated with the short Homer1a. Genetic deletion of Homer1a restored mGluR5-long Homer scaffolds and corrected several phenotypes in Fmr1(-/y) mice, including altered mGluR5 signaling, neocortical circuit dysfunction and behavior. Acute, peptide-mediated disruption of mGluR5-Homer scaffolds in wild-type mice mimicked many Fmr1(-/y) phenotypes. In contrast, Homer1a deletion did not rescue altered mGluR-dependent long-term synaptic depression or translational control of target mRNAs of fragile X mental retardation protein, the gene product of Fmr1. Our findings reveal new functions for mGluR5-Homer interactions in the brain and delineate distinct mechanisms of mGluR5 dysfunction in a mouse model of cognitive dysfunction and autism.        
22268788	Altered mTOR signaling and enhanced CYFIP2 expression levels in subjects with fragile X syndrome.          Fragile X syndrome (FXS) is the most common form of inherited intellectual disability and autism. The protein (FMRP) encoded by the fragile X mental retardation gene (FMR1), is an RNA-binding protein linked to translational control. Recently, in the Fmr1 knockout mouse model of FXS, dysregulated translation initiation signaling was observed. To investigate whether an altered signaling was also a feature of subjects with FXS compared to typical developing controls, we isolated total RNA and translational control proteins from lymphocytes of subjects from both groups (38 FXS and 14 TD). Although we did not observe any difference in the expression level of messenger RNAs (mRNAs) for translational initiation control proteins isolated from participant with FXS, we found increased phosphorylation of the mammalian target of rapamycin (mTOR) substrate, p70 ribosomal subunit 6 kinase1 (S6K1) and of the mTOR regulator, the serine/threonine protein kinase (Akt), in their protein lysates. In addition, we observed increased phosphorylation of the cap binding protein eukaryotic initiation factor 4E (eIF4E) suggesting that protein synthesis is upregulated in FXS. Similar to the findings in lymphocytes, we observed increased phosphorylation of S6K1 in brain tissue from patients with FXS (n = 4) compared to normal age-matched controls (n = 4). Finally, we detected increased expression of the cytoplasmic FMR1-interacting protein 2 (CYFIP2), a known FMRP interactor. This data verify and extend previous findings using lymphocytes for studies of neuropsychiatric disorders and provide evidence that misregulation of mTOR signaling observed in the FXS mouse model also occurs in human FXS and may provide useful biomarkers for designing targeted treatments in FXS.          
24564913	Divergent dysregulation of gene expression in murine models of fragile X syndrome and tuberous sclerosis.          Fragile X syndrome and tuberous sclerosis are genetic syndromes that both have a high rate of comorbidity with autism spectrum disorder (ASD). Several lines of evidence suggest that these two monogenic disorders may converge at a molecular level through the dysfunction of activity-dependent synaptic plasticity.          
16639106	Recent advances in fragile X: a model for autism and neurodegeneration.          This review will describe recent developments in the neurobiology of fragile X syndrome (FXS), the association between FXS and autism, and involvement in premutation carriers.          
